"Ag, In, Sn, Sb",,"Au,Ti,Pb,Bi",
Atomic Number,Residual Resistance x10-6 ? cm,Atomic Number,Residual Resistance x10-6 ? cm
47,4.492993606,79,11.72319719
49,22.42883977,81,57.07562761
50,40.24491292,82,68.84027177
51,88.90482954,83,114.5473623
