Temperature,,Heater Current,
GMT min after hour 19,Temperature K,GMT min after hour 19,Heater Current A
38.1903282,1432.360077,38.19063675,3.557720526
38.22406309,1446.863327,38.21069256,4.129014923
38.24679301,1476.88166,38.21336666,4.592419854
38.26952292,1505.399679,38.23609658,4.949316123
38.29225284,1531.867802,38.27460373,4.958552998
38.32443127,1561.862868,38.32166802,4.970298157
38.37006937,1571.394281,38.36347324,4.970531706
38.412142,1579.154199,38.40685745,4.980733153
38.45671046,1585.786301,38.45082742,4.975393901
38.50178827,1591.851746,38.49223789,4.972422718
38.54648407,1597.236375,38.53693369,4.985560632
38.58907879,1602.270281,38.57838236,4.987622902
38.63587567,1608.277959,38.61887599,4.988361723
38.67307008,1627.963083,38.65726853,4.988576206
38.706071,1657.79798,38.71045356,5.001631362
38.74065207,1684.285067,38.75286788,5.005513466
38.77874943,1711.241972,38.79842322,5.005767965
38.82056738,1736.278091,38.84044491,5.006002723
38.86451188,1759.146604,38.88323063,5.007266949
38.90986886,1777.623833,38.91665698,4.983646287
38.94473511,1774.644433,38.93136457,4.53491907
38.96913634,1744.591601,38.93617021,4.159039582
38.99286905,1716.25009,38.9417122,3.74967437
39.02094718,1686.937057,38.94702166,3.374481162
39.05009495,1659.718704,38.97109417,3.17133331
39.08245165,1630.85341,38.97415029,4.555662078
39.12238499,1603.281188,39.01426191,3.169816987
39.16410107,1577.864088,39.05704763,3.170056013
39.20870774,1553.04528,39.09983335,3.17029504
39.24958338,1531.073517,39.12390032,4.556498671
39.28835794,1502.22896,39.12390032,4.294047702
39.32980661,1473.57558,39.12390032,4.031596733
39.37107701,1449.334434,39.12390032,3.769145764
39.41461403,1425.732841,39.12390032,3.385721302
39.45415262,1406.125363,39.14796729,3.169538745
39.49849824,1384.997399,39.19075301,3.182080161
39.54178107,1366.240068,39.20947177,4.556976723
39.5863994,1350.921942,39.20947177,4.294525755
39.62548652,1334.194144,39.20947177,4.032074786
39.67037332,1309.313444,39.20947177,3.769623817
39.71468711,1286.165728,39.20947177,3.507172848
39.75305843,1275.053999,39.22819052,3.130004155
39.76613185,1403.699186,39.24824633,2.722770424
39.76568616,1369.905995,39.27622161,2.585182011
39.76568616,1342.17825,39.289695,4.541021712
39.76568616,1314.450504,39.289695,4.278570743
39.77504554,1510.236446,39.289695,4.016119775
39.79510134,1483.741389,39.289695,3.753668806
39.81783126,1455.817078,39.289695,3.491217837
39.84323528,1426.14133,39.289695,3.228766869
39.86997636,1398.500233,39.289695,2.9663159
39.8999993,1370.247341,39.31643607,2.557410852
39.93415494,1340.160561,39.36040155,2.580753601
39.9716953,1312.184294,39.36014223,3.157396492
39.76502732,1435.244519,39.36055885,2.933905416
39.76684882,1473.01855,39.37761113,4.448561479
,,39.37902569,4.139642721
,,39.37902569,3.877191752
,,39.3772042,3.614730607
,,39.36323296,3.475225478
,,39.40120529,2.550297949
,,39.44666512,2.548911596
,,39.48964532,2.549151709
,,39.53036469,2.549379192
,,39.5754425,2.565448381
,,39.587858,4.526284242
,,39.587858,4.263833273
,,39.587858,4.001382304
,,39.587858,3.738931336
,,39.587858,3.476480367
,,39.58919505,3.156625718
,,39.58919505,2.89417475
,,39.63375521,2.587449788
,,39.62514695,1.945902996
,,39.63510057,4.761660493
,,39.63465489,4.452731342
,,39.63465489,4.190280373
,,39.63465489,3.927829404
,,39.63465489,3.665378436
,,39.63465489,3.402927467
,,39.63465489,3.140476498
,,39.63513932,2.889320284
,,39.66674418,1.959626409
,,39.7095299,1.959865435
,,39.75155159,1.958928537
,,39.80403441,1.955163392
,,39.8465101,1.927824316
,,39.91008797,1.9281795
,,39.94993218,1.928402093
,,39.98576522,1.928602278
,,38.97449909,3.754047481
,,38.97449909,4.133935749
,,39.36247723,3.934985906
,,39.36429872,4.605387144
,,39.37887067,3.264686428
,,39.37887067,2.750719948
,,39.6010929,2.28268767
,,39.63752277,2.305237557
