graph (a) Measured time traces of current,,graph (a) time traces of ohmic voltage,,Computed time traces of mass density graph (b),,Computed time traces of pressure (graph c),,Computed time traces of temperature (graph d),,Computed time traces of conductivity (graph e),
Time (?sec ),I(kA). V(kV),Time (?sec ),I(kA). V(kV),Time (?sec ),log 10 ?(gm/cm3),Time (?sec ),P (kB),Time (?sec ),T (kK),Time (?sec ),log10 ?(S/m)
2.388962333,0.317816967,,,2.470129626,-1.001501918,2.352998734,1.710474345,2.336702194,12.62305648,2.685936885,2.502470654
2.45834358,0.330020639,,,2.539386887,-1.014058484,2.4223232,1.615798389,2.405960561,12.44746658,2.749524987,2.532921946
2.527724827,0.323345873,,,2.610742151,-1.031462148,2.491647666,1.521122433,2.475216206,12.26542595,2.775027505,2.40191956
2.597106074,0.313524702,,,2.677845627,-1.06563034,2.560967393,1.370284112,2.544496347,12.14144198,2.823065577,2.488756963
2.66648732,0.317862358,,,2.747108993,-1.075291327,2.630288473,1.235492182,2.61376288,11.98520431,2.885699779,2.427439985
2.735868567,0.298601968,,,2.816374894,-1.08374947,2.69961971,1.221048174,2.683048465,11.87412182,2.944358776,2.409702698
2.805249814,0.33597689,,,2.885606218,-1.108608598,2.763238998,1.207794156,2.752336772,11.76949008,2.992080174,2.418900371
2.874631061,0.330875327,,,2.954859806,-1.122907233,2.814449571,1.197125286,2.821618275,11.64873148,1.113252772,6.278688509
2.944012308,0.325773765,,,,,2.890402771,1.147834954,2.890906582,11.54409973,,
,,,,,,2.966329706,0.882016842,2.953688874,11.42501716,,
,,,,,,1.160327702,49.75826726,,,,
,,,,,,1.172416097,43.00574884,,,,
,,,,,,1.176108015,36.75497969,,,,
,,,,,,1.141825917,30.5121218,,,,
,,,,,,1.179652256,28.75424131,,,,
,,,,,,1.216887889,19.99648389,,,,
