T(K),log10(rho),log10(con),Z,Znuc
10000,-0.625783,4.05934,0.874684,13
10000,-0.780127,3.81644,0.786478,13
8000,-1.08108,3.4216,0.627465,13
10000,-1.32431,3.53542,0.651459,13
12000,-1.47534,3.75618,0.712208,13
16000,-1.62709,3.99747,0.848453,13
22000,-1.7778,4.14625,1.05123,13
24000,-1.92849,4.19265,1.14221,13
26000,-2.07936,4.20656,1.23942,13
26000,-2.22988,4.16797,1.28112,13
24000,-2.38091,4.16997,1.26047,13
20000,-2.53165,4.01055,1.16415,13
6000,0.0485467,5.50624,1.63902,13
8000,-0.13327,5.15541,1.3595,13
10000,-0.321709,4.73763,1.14164,13
10000,-0.472538,4.40971,0.99235,13
10000,-0.635468,4.06804,0.868303,13
10000,-0.790351,3.77517,0.781598,13
10000,-0.941688,3.46255,0.721706,13
10000,-1.38258,3.33746,0.648256,13
12000,-1.53387,3.61982,0.714044,13
18000,-1.68403,3.89504,0.916792,13
24000,-1.83416,4.03965,1.12073,13
26000,-1.98464,4.08654,1.21451,13
28000,-2.1349,4.12379,1.3141,13
28000,-2.28567,4.06963,1.35889,13
26000,-2.43652,4.00355,1.34196,13
22000,-2.5867,3.95139,1.25086,13
6000,0.0473995,5.4659,1.63693,13
8000,-0.126871,5.05069,1.36888,13
10000,-0.282005,4.764,1.18694,13
10000,-0.445899,4.45494,1.01619,13
10000,-0.602164,4.18515,0.890753,13
10000,-0.755847,3.95173,0.798526,13
10000,-0.913355,3.78161,0.731255,13
10000,-1.06354,3.68583,0.688364,13
10000,-1.2171,3.68404,0.661741,13
12000,-1.36724,3.83136,0.712087,13
16000,-1.51884,4.03539,0.838055,13
20000,-1.66938,4.15664,0.973911,13
24000,-1.81987,4.24733,1.1176,13
26000,-1.97102,4.28921,1.21102,13
28000,-2.12148,4.23922,1.31023,13
26000,-2.27165,4.16215,1.2931,13
24000,-2.42251,4.0484,1.27235,13
20000,-2.57349,3.89669,1.17528,13
6000,0.0646377,5.5229,1.66845,13
8000,-0.105861,5.18553,1.40021,13
10000,-0.259606,4.84864,1.21365,13
10000,-0.689094,4.02543,0.835084,13
10000,-0.847773,3.79239,0.756225,13
10000,-1.0024,3.63448,0.703594,13
10000,-1.15496,3.56597,0.670666,13
12000,-1.36876,3.68726,0.712056,13
16000,-1.52666,3.89204,0.838695,13
20000,-1.67716,4.06532,0.975139,13
24000,-1.82857,4.15755,1.1195,13
28000,-1.97881,4.18724,1.27036,13
28000,-2.12901,4.18033,1.3124,13
28000,-2.27901,4.15381,1.35686,13
24000,-2.42946,4.07954,1.27435,13
22000,-2.58004,3.99848,1.24896,13
6000,0.0697014,5.53675,1.67782,13
8000,-0.103606,5.17922,1.40361,13
10000,-0.261457,4.83152,1.21141,13
10000,-0.77124,3.93922,0.790813,13
10000,-0.930258,3.70096,0.725471,13
10000,-1.08624,3.6248,0.683426,13
10000,-1.23695,3.63053,0.659371,13
12000,-1.38743,3.76178,0.711758,13
16000,-1.5394,3.95583,0.839777,13
22000,-1.69122,4.05408,1.03504,13
26000,-1.84224,4.21487,1.1793,13
28000,-1.99311,4.28874,1.27424,13
28000,-2.14327,4.29719,1.31653,13
6000,0.0761414,5.53512,1.68979,13
8000,-0.0986507,5.12756,1.41114,13
10000,-0.258494,4.84174,1.21499,13
10000,-0.767868,4.01891,0.79248,13
10000,-0.918365,3.84504,0.729514,13
10000,-1.0733,3.75944,0.686195,13
12000,-1.27835,3.83759,0.715706,13
14000,-1.43086,3.99743,0.773242,13
18000,-1.5817,4.11049,0.903421,13
24000,-1.73236,4.20585,1.09918,13
26000,-1.8824,4.22546,1.18893,13
28000,-2.03292,4.24418,1.28519,13
28000,-2.1831,4.16785,1.32817,13
26000,-2.33348,4.14774,1.31114,13
24000,-2.48413,3.94488,1.29022,13
20000,-2.63451,3.85878,1.19176,13
6000,0.0566191,5.50112,1.65373,13
8000,-0.114741,5.15992,1.38687,13
10000,-0.267373,4.82711,1.20429,13
10000,-0.659675,4.07188,0.852869,13
10000,-0.813241,3.82956,0.771074,13
10000,-0.970413,3.65331,0.712747,13
10000,-1.12257,3.51786,0.676283,13
10000,-1.27409,3.52323,0.655522,13
12000,-1.42632,3.74288,0.711592,13
16000,-1.57757,3.99642,0.843298,13
20000,-1.72769,4.18373,0.983428,13
24000,-1.87844,4.25825,1.13065,13
26000,-2.02872,4.20935,1.22597,13
28000,-2.17914,4.15467,1.327,13
26000,-2.32975,4.08182,1.31004,13
24000,-2.48017,4.01233,1.28907,13
20000,-2.63078,3.86332,1.19075,13
6000,0.625887,5.72184,3.10517,26
8000,0.467205,5.59206,2.58641,26
10000,0.31039,5.39354,2.16877,26
12000,0.0638923,4.87754,1.67195,26
14000,-0.170053,4.39825,1.3719,26
14000,-0.326583,4.22329,1.21856,26
14000,-0.476865,4.07155,1.11338,26
14000,-0.636708,3.98168,1.03835,26
16000,-0.878309,3.95134,1.04562,26
16000,-1.03217,3.99229,1.03826,26
