T(K),log10(rho),log10(con),Z
6000,0.58395,5.82754,2.88115
8000,0.269919,5.20407,1.99199
10000,0.0622886,4.63964,1.59911
10000,-0.256733,3.89137,1.17102
8000,-0.596674,3.23729,0.863997
6000,-0.892451,2.46687,0.675674
4000,0.769355,6.22043,3.57578
6000,0.59098,5.84175,2.9056
8000,0.285901,5.25967,2.03015
10000,0.0721322,4.75315,1.61623
4000,0.765677,6.19144,3.5604
6000,0.624054,5.89655,3.02305
8000,0.430164,5.51621,2.41188
10000,0.242964,5.14069,1.9565
12000,0.0831477,4.78717,1.66847
12000,-0.0677901,4.44671,1.43525
12000,-0.719649,3.36078,0.948995
12000,-0.871019,3.31513,0.916691
12000,-1.02255,3.22272,0.902288
14000,-1.28092,3.49374,0.990164
16000,-1.38018,3.72148,1.08329
18000,-1.47031,3.88041,1.17858
20000,-1.57971,4.06659,1.28152
20000,-1.73025,4.26202,1.32185
20000,-1.88041,4.28181,1.36584
18000,-2.03058,4.19243,1.32466
16000,-2.16813,4.06363,1.27201
4000,0.772632,6.23494,3.58953
6000,0.635949,5.92074,3.06629
8000,0.443438,5.552,2.45051
10000,0.253147,5.17472,1.9795
12000,0.0902157,4.81084,1.68084
12000,-0.816958,3.31785,0.925922
12000,-0.969158,3.20466,0.905604
14000,-1.26162,3.48116,0.988231
16000,-1.36845,3.70952,1.08143
18000,-1.45655,3.85769,1.17575
20000,-1.56273,4.00104,1.27724
20000,-1.71287,4.23702,1.31698
20000,-1.86328,4.28053,1.36065
18000,-2.05208,4.21061,1.33118
16000,-2.19179,4.05415,1.27902
4000,0.774439,6.23696,3.59712
6000,0.638523,5.92041,3.07572
8000,0.445721,5.5436,2.45721
10000,0.254807,5.16338,1.98328
12000,0.0913152,4.79618,1.68278
12000,-0.798384,3.37694,0.929658
12000,-0.950743,3.28398,0.90717
14000,-1.24474,3.5253,0.986653
16000,-1.35892,3.72844,1.07994
18000,-1.45259,3.90677,1.17494
20000,-1.56352,4.02812,1.27744
20000,-1.71399,4.26005,1.3173
20000,-1.86455,4.29813,1.36104
18000,-2.03858,4.19014,1.32708
16000,-2.18177,4.09771,1.27605
6000,0.669697,6.00826,3.19187
8000,0.507108,5.65265,2.64436
12000,0.229008,5.03106,1.95275
8000,0.486083,5.62556,2.57876
10000,0.315347,5.26264,2.12705
12000,0.0754119,4.73509,1.65507
10000,-0.171192,4.13656,1.26357
4000,0.766984,6.20691,3.56586
6000,0.593331,5.83244,2.91381
8000,0.30547,5.30625,2.07796
10000,0.0856009,4.87097,1.64007
10000,-0.536062,3.59151,0.959854
4000,0.757701,6.20544,3.52722
6000,0.541857,5.75602,2.73857
8000,0.173801,4.96103,1.77891
8000,-0.513669,3.44154,0.910939
4000,0.755074,6.20725,3.51635
6000,0.532697,5.74267,2.7084
8000,0.14664,4.89828,1.72362
8000,-0.488906,3.53428,0.926763
4000,0.752478,6.19344,3.50563
6000,0.553695,5.77281,2.77802
8000,0.200801,5.03715,1.83599
10000,-0.0526839,4.39459,1.41765
10000,-0.213561,4.08217,1.21589
4000,0.753578,6.18788,3.51017
6000,0.543864,5.76891,2.74523
8000,0.170625,5.0065,1.77234
10000,-0.0534691,4.44521,1.41652
10000,-0.214627,4.10998,1.21473
10000,-0.365694,3.79484,1.07334
4000,0.755998,6.13344,3.52017
6000,0.518943,5.76592,2.66365
8000,-0.0558432,4.92906,1.37382
10000,-0.209933,4.50048,1.21983
12000,-0.41285,3.9555,1.09189
12000,-0.564331,3.61658,1.00624
4000,0.758267,6.20322,3.52957
6000,0.536451,5.73627,2.72073
8000,0.172886,4.9861,1.77702
10000,-0.0517387,4.42788,1.41901
10000,-0.213327,4.12385,1.21614
10000,-0.364335,3.73902,1.07443
4000,0.757763,6.20204,3.52748
6000,0.54768,5.76546,2.75791
8000,0.184816,5.05748,1.80194
10000,-0.0163918,4.58748,1.47136
10000,-0.528664,3.53084,0.963899
10000,-0.678878,3.26905,0.895348
4000,0.767304,6.25701,3.56719
6000,0.561166,5.87279,2.80317
8000,0.237144,5.10019,1.91622
10000,-0.0305282,4.36093,1.45006
8000,-0.405155,3.65456,0.987025
4000,0.765843,6.13466,3.56109
6000,0.571635,5.80591,2.83877
8000,0.0690054,5.04177,1.57687
10000,-0.132014,4.45712,1.31104
4000,0.769088,6.22274,3.57466
6000,0.589053,5.83089,2.89888
8000,0.270849,5.16355,1.99419
10000,0.0111177,4.45862,1.51423
10000,-0.149531,4.11099,1.28941
8000,-0.42143,3.52517,0.974467
4000,0.767938,6.20398,3.56984
6000,0.587938,5.83283,2.89499
8000,0.274361,5.15456,2.00252
10000,-0.00129177,4.39108,1.49465
8000,-0.387852,3.55618,1.00084
4000,0.763947,6.22996,3.55318
6000,0.570982,5.78035,2.83654
8000,0.208492,4.94215,1.85264
8000,-0.242096,3.84745,1.13779
4000,0.766647,6.1123,3.56445
6000,0.561725,5.79163,2.80506
4000,0.768352,6.16366,3.57158
6000,0.545423,5.78082,2.7504
4000,0.765335,6.15749,3.55897
6000,0.551688,5.78269,2.77129
4000,0.769918,6.23451,3.57814
6000,0.599152,5.89431,2.93424
8000,0.359179,5.4314,2.21548
10000,0.168279,5.03774,1.79738
12000,0.0149907,4.65187,1.55596
12000,-0.144572,4.2668,1.33783
12000,-0.296588,4.00488,1.18197
12000,-0.455225,3.69487,1.06457
12000,-0.607584,3.49693,0.987485
4000,0.768994,6.19048,3.57427
6000,0.616289,5.86096,2.99511
8000,0.379487,5.41041,2.26994
10000,0.194048,5.02679,1.85041
12000,0.0336328,4.62802,1.58551
12000,-0.118062,4.27191,1.36995
12000,-0.27693,3.95885,1.19956
12000,-0.431493,3.66332,1.07952
12000,-0.582445,3.39881,0.998102
10000,-0.847712,3.00775,0.847547
4000,0.759452,6.22261,3.53448
6000,0.571414,5.79802,2.83801
8000,0.29313,5.20528,2.04767
10000,0.0812501,4.70659,1.63231
4000,0.754637,6.19788,3.51454
6000,0.563825,5.76332,2.81218
8000,0.241678,5.11303,1.92651
10000,0.0175216,4.6004,1.52448
10000,-0.526717,3.61268,0.964976
10000,-0.679874,3.37051,0.894983
4000,0.752739,6.2059,3.50671
6000,0.526773,5.7082,2.68904
4000,0.757863,6.13844,3.52789
6000,0.513813,5.74147,2.64714
8000,-0.152699,4.61032,1.2418
8000,-0.500973,3.42226,0.918943
4000,0.751935,6.2131,3.50339
6000,0.534054,5.72876,2.71285
8000,0.082649,4.62213,1.60148
8000,-0.0786882,4.25037,1.34076
6000,-0.49386,3.17782,0.860296
4000,0.757541,6.16148,3.52656
6000,0.526959,5.82747,2.68965
8000,-0.0129552,4.93614,1.43921
8000,-0.594671,3.27531,0.865025
4000,0.751271,6.16267,3.50066
6000,0.529439,5.7638,2.69774
8000,-0.0408011,4.90403,1.39625
10000,-0.238305,4.29226,1.18972
10000,-0.394512,3.74068,1.05098
4000,0.755056,6.21449,3.51627
6000,0.553689,5.78071,2.778
8000,0.167438,4.88679,1.76577
8000,-0.144263,4.08361,1.25247
6000,-0.510337,3.31069,0.848877
4000,0.761208,6.23753,3.54178
6000,0.577145,5.80974,2.85766
8000,0.27025,5.13851,1.99278
8000,-0.348247,3.78831,1.03434
4000,0.756397,6.22649,3.52182
