T(K),log10(rho),log10(con),Z
10000,-1.37675,3.28914,0.648508
12000,-1.5696,3.54095,0.715704
14000,-1.71965,3.75641,0.794706
18000,-1.8716,3.88485,0.947011
20000,-2.02228,3.93131,1.04068
20000,-2.17263,3.92967,1.07448
20000,-2.32331,3.87685,1.11073
18000,-2.47366,3.77866,1.07621
4000,0.180025,5.77676,1.88081
6000,-0.0331358,5.36722,1.49677
8000,-0.305088,4.70747,1.13372
10000,-0.576885,4.14591,0.908758
10000,-0.735702,3.90504,0.809018
10000,-1.32431,3.48387,0.651459
12000,-1.50752,3.7478,0.713076
14000,-1.65817,3.92978,0.78825
16000,-1.80939,4.09615,0.872312
18000,-1.96019,4.22724,0.963357
4000,0.185995,5.77951,1.89324
6000,0.0357058,5.47949,1.61586
8000,-0.12661,5.13728,1.36927
10000,-0.295275,4.76272,1.17151
10000,-0.450862,4.41534,1.01167
10000,-0.601973,4.0983,0.890886
10000,-0.752395,3.7965,0.800291
10000,-0.906789,3.5791,0.733572
10000,-1.39556,3.33264,0.647749
12000,-1.54653,3.67431,0.714587
18000,-1.6968,3.96341,0.918632
22000,-1.8471,4.11638,1.06517
26000,-1.99827,4.16256,1.21802
28000,-2.14935,4.13956,1.31829
26000,-2.30016,4.0821,1.30138
24000,-2.451,4.01305,1.28058
20000,-2.60206,3.97681,1.18296
4000,0.177487,5.77733,1.87555
6000,0.0160006,5.41785,1.5809
8000,-0.149476,5.07542,1.33604
10000,-0.318198,4.6978,1.14554
10000,-0.470839,4.3846,0.993839
10000,-0.634026,4.08185,0.869246
10000,-0.788452,3.81498,0.782496
10000,-0.939604,3.58013,0.722384
10000,-1.29132,3.43712,0.653984
12000,-1.44382,3.66361,0.71171
16000,-1.59448,3.88559,0.844986
20000,-1.74497,4.07015,0.986381
24000,-1.89551,4.13146,1.13455
26000,-2.04576,4.14631,1.23046
28000,-2.19586,4.12532,1.33193
26000,-2.34679,4.0479,1.31507
22000,-2.49757,3.95598,1.22576
4000,0.190113,5.78963,1.90185
6000,0.0375141,5.46723,1.6191
8000,-0.125907,5.12142,1.3703
10000,-0.318777,4.68041,1.1449
10000,-0.471263,4.33624,0.993467
10000,-0.634175,3.97763,0.869148
10000,-0.787866,3.69836,0.782774
8000,-1.0171,3.31471,0.645043
8000,-1.17108,3.10755,0.607779
8000,-1.32203,3.13162,0.586096
10000,-1.47392,3.40739,0.64614
14000,-1.62397,3.7432,0.785049
20000,-1.77443,3.98507,0.991549
24000,-1.92482,4.12205,1.14135
26000,-2.07572,4.11879,1.23845
28000,-2.22621,4.08106,1.34095
26000,-2.37675,4.06269,1.32397
22000,-2.52724,3.94665,1.23405
6000,0.0451939,5.49816,1.63294
8000,-0.115879,5.12938,1.38517
10000,-0.308821,4.69565,1.15606
10000,-0.462105,4.36517,1.00156
10000,-0.625783,4.05934,0.874684
10000,-0.780127,3.81644,0.786478
8000,-1.08108,3.4216,0.627465
10000,-1.32431,3.53542,0.651459
12000,-1.47534,3.75618,0.712208
16000,-1.62709,3.99747,0.848453
22000,-1.7778,4.14625,1.05123
24000,-1.92849,4.19265,1.14221
26000,-2.07936,4.20656,1.23942
26000,-2.22988,4.16797,1.28112
24000,-2.38091,4.16997,1.26047
20000,-2.53165,4.01055,1.16415
6000,0.0485467,5.50624,1.63902
8000,-0.13327,5.15541,1.3595
10000,-0.321709,4.73763,1.14164
10000,-0.472538,4.40971,0.99235
10000,-0.635468,4.06804,0.868303
10000,-0.790351,3.77517,0.781598
10000,-0.941688,3.46255,0.721706
10000,-1.38258,3.33746,0.648256
12000,-1.53387,3.61982,0.714044
18000,-1.68403,3.89504,0.916792
24000,-1.83416,4.03965,1.12073
26000,-1.98464,4.08654,1.21451
28000,-2.1349,4.12379,1.3141
28000,-2.28567,4.06963,1.35889
26000,-2.43652,4.00355,1.34196
22000,-2.5867,3.95139,1.25086
6000,0.0473995,5.4659,1.63693
8000,-0.126871,5.05069,1.36888
10000,-0.282005,4.764,1.18694
10000,-0.445899,4.45494,1.01619
10000,-0.602164,4.18515,0.890753
10000,-0.755847,3.95173,0.798526
10000,-0.913355,3.78161,0.731255
10000,-1.06354,3.68583,0.688364
10000,-1.2171,3.68404,0.661741
12000,-1.36724,3.83136,0.712087
16000,-1.51884,4.03539,0.838055
20000,-1.66938,4.15664,0.973911
24000,-1.81987,4.24733,1.1176
26000,-1.97102,4.28921,1.21102
28000,-2.12148,4.23922,1.31023
26000,-2.27165,4.16215,1.2931
24000,-2.42251,4.0484,1.27235
20000,-2.57349,3.89669,1.17528
6000,0.0646377,5.5229,1.66845
8000,-0.105861,5.18553,1.40021
10000,-0.259606,4.84864,1.21365
10000,-0.689094,4.02543,0.835084
10000,-0.847773,3.79239,0.756225
10000,-1.0024,3.63448,0.703594
10000,-1.15496,3.56597,0.670666
12000,-1.36876,3.68726,0.712056
16000,-1.52666,3.89204,0.838695
20000,-1.67716,4.06532,0.975139
24000,-1.82857,4.15755,1.1195
28000,-1.97881,4.18724,1.27036
28000,-2.12901,4.18033,1.3124
28000,-2.27901,4.15381,1.35686
24000,-2.42946,4.07954,1.27435
22000,-2.58004,3.99848,1.24896
6000,0.0697014,5.53675,1.67782
8000,-0.103606,5.17922,1.40361
10000,-0.261457,4.83152,1.21141
10000,-0.77124,3.93922,0.790813
10000,-0.930258,3.70096,0.725471
10000,-1.08624,3.6248,0.683426
10000,-1.23695,3.63053,0.659371
12000,-1.38743,3.76178,0.711758
16000,-1.5394,3.95583,0.839777
22000,-1.69122,4.05408,1.03504
26000,-1.84224,4.21487,1.1793
28000,-1.99311,4.28874,1.27424
28000,-2.14327,4.29719,1.31653
6000,0.0761414,5.53512,1.68979
8000,-0.0986507,5.12756,1.41114
10000,-0.258494,4.84174,1.21499
10000,-0.767868,4.01891,0.79248
10000,-0.918365,3.84504,0.729514
10000,-1.0733,3.75944,0.686195
12000,-1.27835,3.83759,0.715706
14000,-1.43086,3.99743,0.773242
18000,-1.5817,4.11049,0.903421
24000,-1.73236,4.20585,1.09918
26000,-1.8824,4.22546,1.18893
28000,-2.03292,4.24418,1.28519
28000,-2.1831,4.16785,1.32817
26000,-2.33348,4.14774,1.31114
24000,-2.48413,3.94488,1.29022
20000,-2.63451,3.85878,1.19176
6000,0.0566191,5.50112,1.65373
8000,-0.114741,5.15992,1.38687
10000,-0.267373,4.82711,1.20429
10000,-0.659675,4.07188,0.852869
10000,-0.813241,3.82956,0.771074
10000,-0.970413,3.65331,0.712747
10000,-1.12257,3.51786,0.676283
10000,-1.27409,3.52323,0.655522
12000,-1.42632,3.74288,0.711592
16000,-1.57757,3.99642,0.843298
20000,-1.72769,4.18373,0.983428
24000,-1.87844,4.25825,1.13065
26000,-2.02872,4.20935,1.22597
28000,-2.17914,4.15467,1.327
26000,-2.32975,4.08182,1.31004
24000,-2.48017,4.01233,1.28907
20000,-2.63078,3.86332,1.19075
