T(K),log10(rho),log10(con),Z
30000,-1.281,4.48047,1.48474
32000,-1.32431,4.51602,1.55463
34000,-1.36572,4.54322,1.62464
36000,-1.4055,4.55554,1.69469
38000,-1.4437,4.55662,1.76469
40000,-1.47638,4.57755,1.83303
42000,-1.50794,4.59159,1.90112
42000,-2.34582,4.22789,2.29578
42000,-2.35754,4.12176,2.30198
6000,0.627271,5.55556,3.08092
8000,0.472313,5.54416,2.58244
10000,0.293959,5.32874,2.11419
12000,0.0819159,4.9805,1.69285
14000,-0.0478665,4.81049,1.51617
16000,-0.189499,4.61126,1.37673
18000,-0.668512,4.23099,1.12264
20000,-0.826377,4.24964,1.1497
22000,-0.947037,4.22181,1.20276
24000,-1.04499,4.33814,1.26682
26000,-1.13817,4.38577,1.33762
28000,-1.21127,4.46891,1.41001
30000,-1.25853,4.48975,1.47927
32000,-1.30356,4.52271,1.54894
34000,-1.3418,4.55331,1.61741
36000,-1.37872,4.55985,1.68591
38000,-1.41431,4.58472,1.75433
40000,-1.44855,4.58941,1.82258
42000,-1.48175,4.60087,1.89073
42000,-2.3536,4.20922,2.29989
42000,-2.36452,3.98686,2.30568
4000,0.612627,5.56325,3.01479
6000,0.394599,5.37513,2.33657
6000,0.241897,5.20412,1.9427
8000,-0.102609,4.51064,1.33092
8000,-0.257974,4.26228,1.13615
10000,-0.952647,3.47041,0.811103
12000,-1.22012,3.65466,0.873179
14000,-1.46585,3.90009,0.975548
16000,-1.63302,3.98967,1.08601
18000,-1.79507,4.07511,1.20454
18000,-2.15058,4.0577,1.30339
16000,-2.32883,3.87679,1.26372
4000,0.588762,5.53389,2.93065
6000,0.272248,5.25053,2.01537
6000,0.120189,5.05668,1.67769
8000,-0.157928,4.28513,1.25577
8000,-0.309627,4.0604,1.08205
8000,-0.463442,3.7864,0.948692
8000,-0.619319,3.55787,0.850373
8000,-1.30461,3.07664,0.703061
10000,-1.44624,3.51772,0.801389
12000,-1.52681,3.65792,0.899413
14000,-1.6562,3.83853,1.00685
16000,-1.77083,3.91392,1.11584
18000,-1.91686,4.00324,1.23654
18000,-2.06702,4.02983,1.27874
16000,-2.2652,3.95085,1.24511
4000,0.569001,5.49758,2.86245
6000,0.233504,5.19616,1.92308
4000,0.631627,5.62336,3.08317
6000,0.513887,5.54552,2.69555
8000,0.392204,5.46791,2.34944
10000,0.18449,5.22841,1.86527
12000,-0.0126556,4.91863,1.53503
14000,-0.139022,4.70556,1.39615
16000,-0.273615,4.46696,1.29435
18000,-0.716314,4.03399,1.11072
18000,-0.866365,4.01565,1.08736
20000,-1.02187,4.08131,1.14454
22000,-1.16046,4.18769,1.21869
24000,-1.25003,4.24596,1.29567
26000,-1.32624,4.28803,1.37412
28000,-1.39577,4.32547,1.45367
30000,-1.45606,4.34516,1.5326
32000,-1.51527,4.36672,1.61259
34000,-1.57333,4.38277,1.69348
36000,-1.63283,4.37632,1.77612
38000,-1.70071,4.34908,1.86343
40000,-1.78701,4.31135,1.96047
40000,-1.93704,4.27644,2.028
40000,-2.08725,4.23596,2.09887
38000,-2.18509,4.27024,2.07973
36000,-2.24565,4.35272,2.03985
34000,-2.29073,4.29365,1.98993
32000,-2.32698,4.32434,1.93325
30000,-2.35754,4.3293,1.87128
28000,-2.38616,4.35411,1.80562
26000,-2.4168,4.24837,1.7377
24000,-2.451,4.2306,1.66772
22000,-2.48545,4.17702,1.5939
20000,-2.51856,4.2275,1.51519
18000,-2.55909,3.95746,1.43408
16000,-2.61261,4.02747,1.35121
4000,0.625978,5.60392,3.0627
6000,0.515891,5.52969,2.70199
8000,0.344907,5.41147,2.2216
10000,0.00107573,4.96204,1.5238
12000,-0.156935,4.67017,1.33633
14000,-0.286064,4.41883,1.24061
16000,-0.44377,4.20469,1.16779
16000,-0.600794,4.01561,1.0909
18000,-1.02669,3.91556,1.08155
20000,-1.23612,3.98064,1.16378
22000,-1.32901,4.02567,1.24566
24000,-1.41162,4.0515,1.32944
26000,-1.51286,4.08375,1.42129
28000,-1.61368,4.1352,1.51711
30000,-1.71965,4.14931,1.61843
32000,-1.84013,4.16047,1.72913
32000,-1.99055,4.16791,1.78892
32000,-2.14086,4.14879,1.85171
30000,-2.24949,4.12681,1.82489
28000,-2.30892,4.17167,1.77342
26000,-2.35655,4.15515,1.71342
24000,-2.4023,4.14016,1.64881
22000,-2.44855,4.10329,1.58014
20000,-2.49214,4.05839,1.50579
18000,-2.54363,3.96445,1.42885
16000,-2.60555,3.97493,1.34895
