T(K),log10(rho),log10(con),Z
10000,0.0221396,4.84018,1.56763
12000,-0.332696,4.12359,1.16607
12000,-0.484471,3.9343,1.05527
12000,-0.642389,3.74586,0.976265
12000,-0.794336,3.63699,0.928237
12000,-0.945349,3.55315,0.901796
14000,-1.23381,3.68422,0.973091
16000,-1.40351,3.86853,1.07082
18000,-1.55486,4.02065,1.17759
20000,-1.70531,4.10302,1.29264
22000,-1.85543,4.17281,1.4148
22000,-2.00568,4.1817,1.46331
20000,-2.15614,4.15978,1.42876
18000,-2.30627,4.06722,1.38701
4000,0.725997,5.77359,3.4791
8000,0.479237,5.57371,2.62369
10000,0.225893,5.25194,1.96711
10000,0.0697088,4.94142,1.65058
12000,-0.233996,4.24706,1.25998
12000,-0.393769,4.04265,1.11691
14000,-1.03915,3.65667,0.967741
14000,-1.18977,3.68984,0.970308
16000,-1.33989,3.78753,1.06148
18000,-1.49066,3.93222,1.16409
20000,-1.64073,4.07129,1.27569
22000,-1.79129,4.09135,1.39508
24000,-1.94157,4.11783,1.52119
22000,-2.09205,4.18113,1.49253
20000,-2.2426,4.12005,1.45777
18000,-2.39362,3.92028,1.41578
4000,0.72899,5.78231,3.49128
6000,0.575811,5.65397,2.92585
8000,0.4233,5.52076,2.45464
10000,0.229131,5.25652,1.97443
10000,0.0704406,4.93311,1.6519
12000,-0.148625,4.43043,1.35704
12000,-0.310034,4.1738,1.186
14000,-0.467985,4.01397,1.11859
14000,-0.624629,3.88581,1.04287
14000,-0.779264,3.82988,0.997083
14000,-0.93048,3.78512,0.973967
16000,-1.16096,3.84485,1.04286
16000,-1.3114,3.91243,1.05771
18000,-1.46281,4.01322,1.15855
20000,-1.61422,4.10582,1.26896
22000,-1.76472,4.16542,1.38709
24000,-1.91507,4.17272,1.51213
24000,-2.0655,4.22986,1.56478
22000,-2.2161,4.20192,1.53604
18000,-2.36653,3.98838,1.40678
