T(K),log10(rho),log10(con),Z
30000,-0.856642,4.80489,2.02562
36000,-1.00882,4.8563,2.32778
42000,-1.15996,4.86908,2.64171
8000,1.02536,5.71003,4.22338
12000,0.866766,5.5321,3.4964
14000,0.709466,5.34028,2.91549
16000,0.550055,5.04551,2.47213
16000,0.396405,4.78924,2.11921
16000,0.239237,4.48763,1.84963
14000,0.061279,4.23704,1.57003
14000,-0.0956903,4.04891,1.43751
14000,-0.246486,3.91105,1.35482
14000,-0.398309,3.84572,1.30604
16000,-0.565862,3.97169,1.376
18000,-0.717242,4.1231,1.47597
24000,-0.869602,4.24388,1.7778
30000,-1.02191,4.41469,2.08979
38000,-1.17315,4.4952,2.49214
8000,1.02372,5.66649,4.21444
12000,0.873119,5.51613,3.52431
14000,0.712755,5.3262,2.92683
16000,0.559192,5.12626,2.49626
16000,0.399407,4.82592,2.1252
16000,0.246651,4.44592,1.86052
14000,0.0915861,4.11066,1.60207
14000,-0.0646137,3.98177,1.45963
14000,-0.215561,3.9208,1.36871
14000,-0.368221,3.90913,1.31336
14000,-0.520468,3.89048,1.28646
18000,-0.685606,4.06206,1.47246
22000,-0.835766,4.22266,1.68009
28000,-0.986573,4.30499,1.99057
36000,-1.13847,4.36573,2.39282
10000,0.975221,5.68914,3.98268
14000,0.795676,5.49614,3.23216
16000,0.634283,5.23104,2.70925
16000,0.481764,5.00466,2.30329
16000,0.330578,4.65637,1.99602
16000,0.179563,4.32292,1.76805
16000,-0.344122,4.01191,1.40424
16000,-0.497122,4.0133,1.37952
20000,-0.649674,4.2078,1.55812
24000,-0.799889,4.28666,1.75895
30000,-0.950472,4.35991,2.06075
38000,-1.10188,4.39287,2.45351
6000,1.10941,5.73457,4.68802
10000,0.9579,5.59896,3.89526
12000,0.807313,5.43805,3.24698
14000,0.655573,5.26411,2.73763
14000,0.502347,5.06284,2.3083
14000,0.352208,4.80072,1.98385
14000,0.198115,4.46294,1.7337
14000,0.0433583,4.03731,1.55214
14000,-0.110116,3.758,1.42788
12000,-0.403722,3.44685,1.21436
12000,-0.55583,3.40175,1.18641
12000,-0.816474,3.53643,1.18344
12000,-0.966616,3.73791,1.19991
16000,-1.11685,3.84862,1.45615
6000,1.11128,5.79018,4.69944
10000,0.957847,5.6606,3.895
14000,0.755879,5.42672,3.08089
14000,0.60218,5.18053,2.57569
14000,0.450828,4.83156,2.18705
14000,0.300717,4.49642,1.89168
14000,0.150388,4.28585,1.67092
14000,-0.0035321,4.08881,1.50884
14000,-0.153558,3.97594,1.40118
14000,-0.304886,3.89559,1.33243
12000,-0.699252,4.12235,1.17897
14000,-0.849981,4.19731,1.29482
16000,-1.00126,4.28156,1.42768
18000,-1.15175,4.28756,1.57376
6000,1.10597,5.77315,4.66697
10000,0.951588,5.67694,3.8639
14000,0.762047,5.45934,3.10375
14000,0.607959,5.22227,2.59256
14000,0.251891,4.52162,1.81241
14000,0.0949949,4.28863,1.60582
14000,-0.057144,4.17336,1.46524
14000,-0.212009,4.10054,1.3704
14000,-0.36231,4.07298,1.31493
14000,-0.516056,4.07346,1.28691
14000,-0.66912,4.12901,1.28096
16000,-0.821138,4.16652,1.39371
18000,-0.972284,4.20145,1.52396
20000,-1.12332,4.17981,1.66812
20000,-1.27352,4.15582,1.72033
6000,1.10943,5.73388,4.6881
10000,0.955789,5.59991,3.88474
14000,0.767829,5.40095,3.12538
14000,0.61318,5.18414,2.60793
14000,0.454816,4.90572,2.19606
14000,0.299183,4.56614,1.88907
14000,0.144294,4.21307,1.66335
14000,-0.00655935,4.0159,1.50621
14000,-0.159793,3.81077,1.39762
14000,-0.312757,3.68485,1.32978
12000,-0.641627,3.718,1.18006
14000,-0.792877,3.87944,1.2884
16000,-0.943286,4.03711,1.41522
18000,-1.09453,4.10469,1.55673
20000,-1.24458,4.24898,1.7098
6000,1.10084,5.74969,4.6358
10000,0.948987,5.61727,3.85105
14000,0.756298,5.44226,3.08244
14000,0.601973,5.1898,2.57509
14000,0.234112,4.43686,1.78542
14000,0.0766186,4.20871,1.58596
14000,-0.0739406,4.0677,1.4528
14000,-0.226009,3.98972,1.36385
14000,-0.377848,3.94557,1.3109
14000,-0.527917,3.9735,1.28575
16000,-0.711594,4.08536,1.38093
18000,-0.863723,4.15214,1.4997
20000,-1.01484,4.15788,1.63459
22000,-1.1659,4.12011,1.78262
24000,-1.31596,4.18276,1.94141
10000,0.980451,5.72295,4.00947
14000,0.823543,5.48327,3.34348
16000,0.670275,5.30705,2.82099
16000,0.517778,5.1151,2.38982
16000,0.364859,4.87205,2.05823
16000,0.211289,4.51681,1.81011
16000,-0.0699888,4.30201,1.52748
16000,-0.224302,4.21213,1.44362
18000,-0.379854,4.25833,1.4787
22000,-0.533177,4.33778,1.63276
26000,-0.683505,4.39547,1.81477
32000,-0.834667,4.4325,2.09704
40000,-0.987711,4.44031,2.47068
10000,0.980739,5.75452,4.01096
14000,0.809932,5.56013,3.28854
16000,0.6505,5.29953,2.7588
16000,0.494786,5.01478,2.33395
16000,0.340525,4.79399,2.01365
16000,0.188383,4.43846,1.77945
16000,-0.142324,4.30627,1.48298
18000,-0.304658,4.39048,1.49466
20000,-0.459633,4.39217,1.55145
24000,-0.612646,4.45843,1.72141
30000,-0.763186,4.48559,1.99456
36000,-0.914103,4.49382,2.28395
6000,1.10874,5.91607,4.6839
10000,0.958288,5.71898,3.8972
14000,0.758113,5.41785,3.08914
14000,0.602062,5.04096,2.57535
14000,0.446139,4.61424,2.17655
14000,0.294587,4.31161,1.8813
6000,1.11171,5.67293,4.70207
10000,0.95201,5.54133,3.86599
12000,0.801588,5.34574,3.22406
6000,1.10772,5.75891,4.67768
10000,0.944952,5.58137,3.83121
12000,0.792343,5.43227,3.18745
14000,0.601712,5.19233,2.57433
14000,0.448981,4.95858,2.18291
14000,0.297909,4.68849,1.88691
12000,-0.105761,3.66106,1.35469
12000,-0.258289,3.6248,1.26623
12000,-0.409258,3.42651,1.21291
6000,1.1098,5.72202,4.69041
10000,0.94781,5.57856,3.84525
12000,0.793848,5.40625,3.19338
14000,0.602422,5.12166,2.5764
14000,0.451407,4.82012,2.18836
12000,0.0750613,3.68449,1.51775
12000,0.973224,5.59294,3.99781
16000,0.812492,5.41861,3.32939
18000,0.654676,5.15586,2.80831
20000,0.496728,4.94865,2.42473
24000,0.327175,4.78089,2.18968
24000,0.166128,4.69498,1.97908
26000,0.00426549,4.65326,1.90004
26000,-0.149458,4.60053,1.82559
28000,-0.304755,4.57785,1.85909
30000,-0.464972,4.53216,1.93034
32000,-0.62113,4.51465,2.03051
36000,-0.775493,4.52709,2.22648
40000,-0.926979,4.51284,2.4402
6000,1.11247,5.80839,4.70674
10000,0.95532,5.66017,3.88241
12000,0.803135,5.47258,3.23024
14000,0.650785,5.22761,2.72254
14000,0.499717,4.90004,2.30185
14000,0.344928,4.44691,1.97026
12000,0.0288314,3.83391,1.46916
12000,-0.122813,3.63417,1.3428
12000,-0.273648,3.48629,1.25939
