QMD,,exp.,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
30000,1.531746032,20457.43827,0.781426344,730.2821317,0.035132441,6080,0.119047619,6080,0.092592593,15733.14415,0.446528367,11848.32762,0.452434857,13701.42976,0.507069889,13768.40935,0.374173866
25040,1.235449735,20269.8954,0.756619087,2504.088276,0.102508849,10000,0.351851852,10000,0.32010582,16469.9197,0.449481612,11826.00109,0.450958235,14014.0012,0.524789359,14348.89918,0.388940091
20040,0.888888889,20055.5607,0.745987405,4358.808276,0.174769385,15000,0.669312169,15040,0.473544974,16849.47074,0.470154327,12227.87866,0.456864725,14348.89918,0.541032206,14639.14409,0.409612806
15040,0.574074074,19921.60151,0.730039882,6096.275862,0.242510491,20000,1.007936508,20040,0.76984127,17095.06259,0.47163095,12540.4501,0.477537439,14750.77675,0.554321808,14884.73594,0.42437903
10000,0.338624339,19921.60151,0.714092359,7855.062069,0.311497902,25040,1.362433862,25040,1.113756614,17385.3075,0.493780287,12719.06236,0.499686776,15219.63392,0.56761141,15152.65432,0.437668633
6120,0.105820106,19546.51578,0.676881473,9592.529655,0.379390075,30000,1.732804233,30000,1.335978836,18189.06264,0.499686776,12853.02155,0.502640021,15688.49108,0.583854257,16135.02172,0.449481612
,,19492.9321,0.67865342,11425.93103,0.450731618,,,,,18590.94021,0.511499756,13433.51137,0.517406246,16023.38906,0.60305035,16380.61357,0.455388102
,,19278.59739,0.692828996,13184.71724,0.519635103,,,,,18948.16472,0.515929624,13880.04201,0.524789359,16425.26663,0.610433462,16849.47074,0.45391148
,,19144.6382,0.676881473,14943.50345,0.58803503,,,,,19372.36883,0.517406246,14103.30733,0.541032206,17630.89935,0.626676309,17005.75646,0.45981797
,,18957.09534,0.666249791,16688.26425,0.656739742,,,,,20332.40969,0.551368563,14527.51143,0.539555583,17943.47079,0.628152932,17385.3075,0.473107572
,,18849.92798,0.657390057,18574.62069,0.724443715,,,,,20667.30767,0.554321808,14750.77675,0.570564655,18345.34837,0.634059421,17809.5116,0.476060817
,,18796.34431,0.62017917,20282.67586,0.800439883,,,,,20912.89952,0.576471145,15063.34819,0.59123737,18635.59328,0.653255514,17943.47079,0.489350419
,,18528.42593,0.593599966,22031.94483,0.865327495,,,,,21136.16484,0.57942439,15554.53189,0.59714386,18948.16472,0.762525577,18345.34837,0.493780287
,,18421.25857,0.581196337,23807.56152,0.934557851,,,,,21270.12403,0.59714386,15889.42987,0.614863329,19327.71576,0.781721669,18546.28715,0.511499756
,,18153.34019,0.574108549,25602.81379,1.004477285,,,,,21404.08322,0.613386707,16112.69519,0.625199687,19595.63414,0.803871006,18747.22594,0.524789359
,,17858.62997,0.549301292,27361.6,1.073296844,,,,,21627.34854,0.638489289,16202.00131,0.656208759,20042.16478,0.828973588,19149.10351,0.557275053
,,17751.46262,0.549301292,29120.38621,1.142116402,,,,,21672.0016,0.669498361,16246.65438,0.669498361,20399.38929,0.84816968,19528.65455,0.586807502
,,17403.16872,0.575880496,30865.14701,1.210242464,,,,,22140.85877,0.679834718,16469.9197,0.684264585,20644.98114,0.861459282,20064.49131,0.639965911
,,16867.33196,0.522722087,32691.25517,1.281350119,,,,,22364.12409,0.675404851,16737.83808,0.7049373,20421.71582,0.877702129,20287.75663,0.657685381
,,16331.4952,0.53866961,34450.04138,1.350169677,,,,,22386.45062,0.679834718,17005.75646,0.725610015,,,20488.69542,0.675404851
,,16036.78498,0.506774564,36208.82759,1.418989236,,,,,22855.30778,0.731516505,17162.04218,0.732993127,,,19908.20559,0.546938696
,,15634.90741,0.522722087,38034.93575,1.490101307,,,,,23145.5527,0.750712597,17273.67484,0.746282729,,,,
,,15018.69513,0.501458723,39494.40325,1.542800262,,,,,23033.92004,0.749235974,17407.63403,0.758095709,,,,
,,14804.36043,0.496142883,,,,,,,23324.16495,0.753665842,17340.65444,0.774338556,,,,
,,14509.65021,0.466019784,,,,,,,23636.7364,0.781721669,,,,,,
,,14107.77263,0.442984474,,,,,,,,,,,,,,
,,13786.27058,0.441212527,,,,,,,,,,,,,,
