QMD,
Energy (MJ/kg),Temperature (K)
5.322811448,6136.363636
7.722643098,10075.75758
11.23611111,14924.24242
13.01967593,17007.57576
14.24473906,18030.30303
15.7516835,20530.30303
17.14330808,21515.15152
19.06523569,23409.09091
20.26494108,25303.0303
