Measured,,Interpolation,
?,RMS Error ,?,RMS Error
0.051803775,0.003450129,0.274597629,0.000467505
0.051329919,0.002339527,0.301026736,0.000352019
0.055309032,0.006657938,0.335734644,0.000359197
0.060400634,0.009513679,0.392049938,0.000456352
0.066850844,0.017937394,0.444851728,0.000608816
0.066256261,0.04809458,0.501874241,0.000878527
0.067158705,0.030059467,0.556534033,0.001247557
0.07080266,0.009862103,0.610098577,0.001756955
0.075275751,0.006621197,0.664988339,0.002470684
0.075730032,0.004469992,0.72481646,0.003557732
0.075234588,0.002808244,0.790027238,0.005008928
0.076291307,0.001973461,0.856173565,0.007148888
0.082415539,0.015525117,0.927858102,0.01008283
0.082441839,0.009241266,1.005544544,0.014356423
0.090265434,0.006142161,1.089735411,0.020296454
0.090636493,0.004414682,1.187777464,0.029417696
0.090897142,0.003038652,1.302097084,0.043274732
0.088578031,0.002135378,1.427419586,0.063132829
0.104931751,0.003744581,1.555842637,0.088306843
0.102086912,0.002334776,1.705587303,0.127369576
0.116471443,0.003793244,1.891345085,0.186590272
0.124733866,0.007282361,2.109414194,0.272993017
0.124304778,0.010656506,2.379805635,0.390557168
0.13432611,0.003865643,2.700320919,0.556814073
0.138636923,0.002568519,3.064003613,0.753001449
0.153295215,0.004235212,3.476667561,0.979129851
0.160964415,0.002418508,3.94490962,1.246547346
0.173442433,0.001485403,4.476215121,1.539815561
0.190135689,0.001752585,5.079077531,1.870763647
0.199075486,0.001139482,5.763134226,2.259162275
0.215743408,0.000765793,6.539320556,2.663109869
0.237870228,0.000804088,7.420044659,3.106295335
0.257786303,0.000567021,8.419385818,3.536792299
,,9.553319529,3.924949662
