Gaussian,,MQ,,IMQ,,C0 Matern,,C2 Matern,,C4 Matern,
?,LOOCV,?,LOOCV,?,LOOCV,?,LOOCV,?,LOOCV,?,LOOCV
0.010935991,978825830.7,0.010543464,97462199.21,0.010819284,484317130.5,0.010736426,0.074457814,0.01105361,0.008201049,0.0100899,200372.71
0.010110259,365478954.7,0.012623463,124114214,0.0122998,212793382.1,0.012857648,0.071365189,0.013327363,0.008201049,0.010220522,66049.6177
0.011217179,2171024039,0.014337422,161348280.8,0.012585833,76712158.87,0.015502496,0.071365189,0.016068832,0.008201049,0.010669049,20709.1315
0.013288101,631728122.3,0.014725287,40944071.64,0.012860759,19079258.37,0.018691395,0.071365189,0.019374227,0.008201049,0.011444969,8557.194447
0.013359738,3290171170,0.015358175,9434640.548,0.013094797,5800495.037,0.022536257,0.071365189,0.02335955,0.008201049,0.011354543,4421.129765
0.014065593,71881028.31,0.015665416,2636867.252,0.013051117,2022735.614,0.027172017,0.071365189,0.028164663,0.008201049,0.014363894,4137.262492
0.014425299,18758233.77,0.016408751,818270.1418,0.013524292,546852.2496,0.032761363,0.071365189,0.033958199,0.008201049,0.014688222,1513.643672
0.014747647,7070385.413,0.017529067,303341.5039,0.015532424,231216.6531,0.03950045,0.071365189,0.040943478,0.008201049,0.015552271,23222.35804
0.015014886,2346511.261,0.021515379,114771.9363,0.01683047,107047.0773,0.047625783,0.071365189,0.049365645,0.008201049,0.015063391,56120.64751
0.01586856,847715.1089,0.025682281,224936.8756,0.018780307,385917.154,0.057422516,0.071365189,0.059520272,0.008201049,0.016607094,3778.896245
0.017984117,263993.7732,0.028527577,801106.5008,0.020437292,180210.0112,0.069470844,0.070762252,0.071763728,0.008201049,0.018933744,1157.015514
0.021149869,133201.4301,0.034445939,324281.0012,0.022904198,470564.1319,0.083476145,0.071365189,0.086525979,0.008169482,0.020888369,676.0366596
0.024012094,272528.2834,0.037308165,4577236.617,0.026876866,586916.666,0.100647379,0.071365189,0.105314934,0.008162483,0.023160739,162.3968159
0.032539735,296136.3003,0.037362442,1162756.846,0.028462088,285850.1516,0.121350775,0.071365189,0.125783954,0.008201049,0.026602758,455.0029263
0.035597782,917203.4293,0.036670977,1980282.682,0.032897244,1500921.398,0.14631047,0.072754675,0.151658001,0.008201049,0.030360049,117.5690343
0.036254703,4929924.295,0.043497452,6602664.885,0.033092014,4249684.89,0.176403341,0.074457814,0.182854399,0.008201049,0.029741517,32.96382871
0.041763396,2942274.9,0.043758061,17232338.51,0.039594399,1614201.202,0.212689912,0.074457814,0.220467967,0.008201049,0.029196516,15.77331673
0.050818955,6873224.234,0.048492288,1494819.221,0.044438064,787060.5831,0.256440714,0.074457814,0.265818732,0.008201049,0.033769302,267.7416273
0.050146113,13359833.25,0.049759455,772178.0008,0.044922634,269653.2226,0.309192185,0.074171214,0.320498254,0.008201049,0.034257377,113.0049182
0.056219708,1190257.235,0.058097678,631508.9926,0.04729554,62210.8795,0.372775094,0.078588471,0.386425478,0.008201049,0.034877295,38.57975587
0.056068674,3741839.359,0.060167283,200372.71,0.050586549,27517.04347,0.450709364,0.08317964,0.465901664,0.008458017,0.037871353,10.6788832
0.060156259,247718.1844,0.062835355,72772.75823,0.059813102,9895.076929,0.541896326,0.080894792,0.561733087,0.008556443,0.0417967,2.338025137
0.067253332,79276.69931,0.073009568,8254.007331,0.060197795,4189.829677,0.784503912,0.104739629,0.67724902,0.009066021,0.044395913,0.915272046
0.075304314,30208.85532,0.071981659,3262.087268,0.066519671,20274.49074,0.971317001,0.112203816,0.816541648,0.009314102,0.051339446,0.378045652
0.07985002,12057.50995,0.081675325,1741.257061,0.074211303,7100.131662,1.145002319,0.09753333,0.984430691,0.010178027,0.059874439,0.160635972
0.079691252,4539.384802,0.089007497,16399.50116,0.087187106,34211.9321,1.380499258,0.100240868,1.18682752,0.011251513,0.069247711,0.057183787
0.095847591,15226.10699,0.098154685,5841.39576,0.086137416,114735.1185,1.664255398,0.116465768,1.430846235,0.012342651,0.082154485,0.021260275
0.105813597,12186.06793,0.117805453,6100.282025,0.093075571,9447.576452,2.006429407,0.128253939,1.72489295,0.014910025,0.09913375,0.008360724
0.133965459,50688.02868,0.122058717,30062.74858,0.099711863,3530.911128,2.418898612,0.145099998,2.079416368,0.0175317,0.119613036,0.00359287
0.144767819,15497.63709,0.134705282,2297.16208,0.104316576,1202.044814,2.916199521,0.161645833,2.50671438,0.02150768,0.144282594,0.002134669
0.158593889,5132.160475,0.134499732,505.9106804,0.116417638,415.5795019,3.515635008,0.186438538,3.021737057,0.027212112,0.173992576,0.001740047
0.180804111,3821.888371,0.130819442,6728.674328,0.138573306,267.7416273,4.238216047,0.219220594,3.64258702,0.034296994,0.209817499,0.001440426
0.18642903,1385.608699,0.146832143,159.1769858,0.142041623,1681.167173,5.109141521,0.267902012,4.390763537,0.045977801,0.252977438,0.001440426
0.196457285,752.7383352,0.179919413,306.2837332,0.14598795,661.8480834,6.250964064,0.248247454,5.292742011,0.059925767,0.305015476,0.001440426
0.185895141,279.3442665,0.190629327,423.9432755,0.16093982,176.6696865,7.358686599,0.306914648,6.379615249,0.083913547,0.367750506,0.001474146
0.234994067,762.3794707,0.204271396,119.2192831,0.173888693,65.33147212,8.950898261,0.458446943,7.690122938,0.109919526,0.443390239,0.001502847
0.246199595,3041.865919,0.22260545,40.95205591,0.189342547,23.39813314,10.78919915,0.627033422,9.269568909,0.14887898,0.534596626,0.001502847
0.247382669,13378.15101,0.24721744,11.03555286,0.22520381,8.086250245,13.00505783,0.856497351,11.17323773,0.205309056,0.644523572,0.001617104
0.26477188,558.5510369,0.276471643,2.441562446,0.254147437,3.451768443,15.67673002,1.108869135,13.46802591,0.279080749,0.777093188,0.001642243
0.288871245,185.8962694,0.289600561,2.7026971,0.26773019,1.025933388,18.89771022,1.39593003,16.23418848,0.377608515,0.936930548,0.001667774
0.298077734,76.8574269,0.272831538,83.37957137,0.266136521,38.68902032,22.78052916,1.753017443,19.56838161,0.514083319,1.12958403,0.001801503
0.332547763,143.7140529,0.341453331,1.865211767,0.264158011,11.59711638,27.46346273,1.995440756,23.58751168,0.69450512,1.361878522,0.001901444
0.359008332,37.08206146,0.388752867,0.602887096,0.283000785,4.189645682,33.1117853,2.064589711,28.43136898,0.967646131,1.641866871,0.002118267
0.364758701,18.83252067,0.43917737,0.133830282,0.303611777,0.300099859,39.91677049,2.470110908,34.27177254,1.267533163,1.979332237,0.002481141
0.450566488,20.81306932,0.49413348,0.499177119,0.359429155,0.113974294,48.12517591,2.627331061,41.31164304,1.673215544,2.385889128,0.00331336
0.490251459,6.509996648,0.480047833,0.973635497,0.359145198,0.065006072,58.02115487,2.816196407,49.80207501,1.990316945,2.876001137,0.004340217
0.498256469,61.69503698,0.549329633,0.113127653,0.410753613,0.190343591,69.95274301,2.983914604,60.03627334,2.422936153,3.466676996,0.005908853
0.503789047,23.35305809,0.562835007,0.045381968,0.440787798,0.051446931,78.12863802,2.983914604,72.38056639,2.637483168,4.178304456,0.008892876
0.540506967,1.579168384,0.533602226,0.012967227,0.481691022,0.018647576,,,84.34218226,2.983914604,5.036045896,0.013281021
0.57413302,0.601569142,0.634051253,0.04024985,0.580766292,0.019010646,,,,,6.069544849,0.021096921
0.638180487,0.21427502,0.724647376,0.014017805,0.667713776,0.005726965,,,,,7.315333774,0.032494324
0.767780694,0.100385828,0.830229703,0.014479353,0.781086159,0.003080245,,,,,8.816853299,0.049856413
0.815544712,0.038306261,0.928199472,0.004511182,0.881844452,0.005779264,,,,,10.62664022,0.075907514
0.809038222,0.575903759,0.969297342,0.0017652,0.905499052,0.001897781,,,,,12.80825353,0.112059668
0.805337001,4.371204851,1.050391188,0.000563299,0.95406421,0.000458191,,,,,15.43743606,0.169302462
