Measured,,Interpolation,
?,RMS Error,?,RMS Error
0.055708715,1.824897045,21.96486706,5.68961E-05
0.060307491,4.14935017,24.1413182,0.000154316
0.05952758,13.58311208,26.98666585,0.000368242
0.060073244,29.60270685,31.21367101,0.000902758
0.068580875,1.007320104,37.03401488,0.001975716
0.077319495,0.500506185,44.6879576,0.003563585
0.082124962,1.177825324,53.91511117,0.005229635
0.092598021,3.151681562,65.04162272,0.006835433
0.111629573,1.679162517,78.46410184,0.008902032
0.135494435,1.271525875,92.29667016,0.017238258
0.149479123,2.981571578,106.7491126,0.040142365
0.172012115,0.730527154,118.2833023,0.065296371
0.204680414,1.20629385,,
0.22658361,0.588562262,,
0.247371214,1.839482992,,
0.294624058,0.775473442,,
0.30827605,1.619486145,,
0.377604551,1.389596167,,
0.436940367,0.258584018,,
0.523793565,0.207803999,,
0.595040985,0.571177384,,
0.591161117,2.678074208,,
0.588605952,10.85670217,,
0.649784225,0.148646476,,
0.713278085,0.080934617,,
0.836652771,0.158842369,,
0.898215704,0.436994877,,
0.899909228,1.8176475,,
1.077791609,0.153863895,,
1.217476273,0.236503076,,
1.292152336,0.08346271,,
1.359057772,0.312497177,,
1.578595457,0.068524053,,
1.62847478,0.030006508,,
1.817415653,0.008632389,,
2.118011719,0.006088026,,
2.477582824,0.006611619,,
2.733441299,0.003314791,,
3.086801599,0.00168796,,
3.028068142,0.003972223,,
3.586203309,0.000847806,,
3.806196772,0.000277936,,
4.068632956,0.004358831,,
4.048559483,0.011181415,,
4.094213568,0.001497963,,
4.288142449,0.000717283,,
4.357268179,0.000187177,,
4.621407099,6.90578E-05,,
5.072398357,3.2373E-05,,
5.614832364,1.45064E-05,,
6.417562989,4.18991E-06,,
6.703284954,1.6247E-06,,
7.080146303,6.84E-07,,
7.620460605,1.90E-07,,
8.101672474,9.68E-08,,
9.102784522,4.36E-08,,
10.14855869,1.93E-08,,
9.792599781,6.43E-09,,
11.6316243,5.93E-08,,
12.56747654,1.49E-07,,
13.69562788,4.06E-07,,
15.44503908,1.3777E-06,,
17.11944624,3.40653E-06,,
18.65440048,8.17762E-06,,
20.15512174,2.0347E-05,,
21.22158731,3.62379E-05,,
