Gauassian,,MQ,,IMQ,,C0 Matern,,C2 Matern,,C4 Matern,
?,GCV,?,GCV,?,GCV,?,GCV,?,GCV,?,GCV
0.537727405,0.316899478,0.640775152,0.00026713,0.356684605,0.000549376,39.7916968,4.32903953,25.46166759,0.248978537,3.240903011,1.94559E-06
0.576670318,0.030200366,0.736060868,3.72936E-05,0.40895927,0.005356392,48.0882226,4.853427733,30.76072007,0.570072343,3.915367512,4.52879E-06
0.639952667,0.004931177,0.830285169,4.57029E-05,0.450214175,0.000226693,58.11211642,5.987488707,37.1635501,1.232058476,4.730332313,9.8688E-06
0.757910451,0.000821831,0.946040566,2.08624E-06,0.512641484,4.65998E-05,70.22980743,6.420436349,44.90613972,1.867890592,5.714595965,2.45381E-05
0.786504851,0.000102348,1.014568234,1.93E-07,0.598490002,6.61916E-05,78.5473997,6.510263091,54.25944192,3.126389303,6.903610072,6.20271E-05
0.809793764,0.029386673,1.10666229,3.27E-08,0.681776095,5.03263E-06,,,65.56685606,4.258049476,8.339836031,0.000164743
0.803087508,1.580882814,1.228379497,3.21E-09,0.792578127,2.09694E-06,,,79.23327265,5.384553794,10.07518358,0.000406259
0.813017285,0.25247569,1.351616349,4.25E-10,0.87503457,6.9199E-06,,,91.71917736,5.924425617,12.17144425,0.001035438
0.797477506,28.22939814,1.579432477,7.30E-11,0.916416078,2.68E-07,,,,,14.70396347,0.002595868
0.858139914,0.00121139,1.874636211,5.13E-10,0.989903561,1.21E-08,,,,,17.76342539,0.006507904
0.953154678,2.6437E-05,2.186841505,4.38E-09,1.089393827,1.10E-09,,,,,21.45876973,0.017572291
1.0045243,4.02104E-06,2.595549942,3.14E-08,1.258116972,9.89E-11,,,,,25.92191891,0.051525857
1.206695631,2.52845E-06,3.134241011,2.12E-07,1.409449242,1.17E-10,,,,,31.31414214,0.14261176
1.400213118,2.62305E-05,3.785036688,1.19183E-06,1.591365256,8.54E-10,,,,,37.82873137,0.378774438
1.405935419,0.000348904,4.571716719,4.61285E-06,1.840601794,6.25E-09,,,,,45.70027469,0.926395414
1.683286179,9.78534E-06,5.522648779,1.31231E-05,2.128828382,4.80E-08,,,,,55.21557409,1.783874593
1.692685939,1.35168E-06,6.671967515,3.05468E-05,2.483674089,3.09E-07,,,,,66.71860641,2.749453328
1.83649614,9.94E-07,8.061437286,5.41657E-05,3.024457611,3.33049E-06,,,,,80.62362362,3.623182111
1.965563464,8.8688E-06,9.74058934,8.91772E-05,3.652258798,2.1199E-05,,,,,92.52786286,4.046869351
2.079716979,4.18E-07,11.7699696,0.000134089,4.410856319,0.000105364,,,,,,
2.169691871,4.09E-08,14.22262127,0.000187199,5.237422796,0.000291207,,,,,,
2.302319606,6.95E-09,17.18648665,0.000257071,5.906967468,0.000505483,,,,,,
