Default Dataset,
X,Y
0.012801281920239316,0.009111621032313114
0.02141248385817305,0.009072031031988063
0.03581642133141164,0.00902606005812093
0.059908224087786115,0.00902606005812093
0.10020853147176696,0.008967296648958603
0.1676317915738962,0.008770984369140514
0.2804766565736371,0.008231319984421184
0.46937449000113607,0.007433369608708331
0.7767568261218988,0.008721347187309365
1.1393345489022464,0.01517572729694893
1.5141044645826358,0.025194082448049444
2.072800133748126,0.04166427653575374
3.0413877521170845,0.06765492434459298
4.64291640780167,0.10885023476353183
7.374071730473995,0.17411265092490666
12.320158141315593,0.21939026366859757
20.599231632648706,0.23745029875482349
34.450119739073514,0.24471070937968728
57.61978893202328,0.2473892245177675
83.91257796158051,0.24756883108245975
