Gaussian,,MQ,,IMQ,,C0 Matern,,C2 Matern,,C4 Matern,
?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error
0.515993155,3.65E-05,0.238419624,2.8271E-05,0.237079793,3.61147E-06,29.09384782,0.148939486,29.09384782,0.049495402,1.318699785,9.95172E-05
0.511649732,7.72083E-06,0.241122044,1.26051E-05,0.249414486,1.67335E-06,35.04026033,0.173201559,35.04026033,0.071136931,1.588225252,0.000107577
0.533738704,1.72418E-06,0.256439046,6.70598E-06,0.260182223,9.29E-07,42.20204394,0.18913818,42.20204394,0.096203742,1.923648496,0.000118225
0.56627452,7.75E-07,0.314585119,6.1928E-06,0.267995056,9.57095E-06,50.82760504,0.211511152,50.82760504,0.128529294,2.300554649,0.000133855
0.629917979,3.77E-07,0.375093887,4.97344E-06,0.266864735,7.4412E-05,61.21612114,0.241437215,61.21612114,0.158460184,2.774665156,0.000195804
0.663064665,2.33E-07,0.397042573,2.24506E-06,0.266864735,3.33962E-05,73.72791782,0.251652494,73.72791782,0.191592937,3.341771428,0.000284287
0.790445843,2.18E-07,0.44078451,6.72E-07,0.267995056,1.90316E-05,88.79696663,0.26037004,88.79696663,0.216388112,4.024787011,0.000450272
0.762522879,1.02E-07,0.499118801,1.55045E-06,0.266864735,0.000182914,99.95275711,0.283963432,99.95275711,0.229201133,4.847402293,0.000712476
0.819427306,5.42E-08,0.494638589,3.32866E-06,0.284091334,3.67857E-06,,,99.95275711,0.078521481,5.838149678,0.001106699
0.796339607,1.99921E-06,0.553368823,6.86E-07,0.290404324,1.34427E-06,,,,,7.031393228,0.001714453
0.80763841,2.3758E-05,0.55443297,3.44E-07,0.303511285,6.74E-07,,,,,8.523766404,0.002466802
0.80763841,1.14211E-05,0.612761475,1.57038E-06,0.363978955,3.29E-07,,,,,10.35266779,0.003396568
0.811059209,6.74823E-06,0.684323821,5.80E-07,0.418204467,7.37E-07,,,,,12.28400176,0.006286191
0.780786343,4.66718E-06,0.678181163,3.03E-07,0.410697286,1.51268E-06,,,,,14.79469551,0.00921248
0.80763841,0.000107161,0.824190907,9.71E-07,0.464532714,2.41E-07,,,,,17.81854312,0.012672864
0.80763841,5.48617E-05,0.819427306,5.20E-07,0.526271738,1.73E-07,,,,,21.46042674,0.017138452
0.8496579,4.20E-07,1.015929398,1.11121E-06,0.602180348,3.82E-07,,,,,25.84666506,0.022785947
0.878878532,1.22E-07,1.132568637,1.9483E-06,0.628499621,6.05E-07,,,,,31.1293947,0.030890238
0.9315781,2.37E-08,1.242932693,3.77295E-06,0.714039923,3.29E-07,,,,,37.49184711,0.045159891
0.924604476,1.41E-08,1.375630769,6.84014E-06,0.816217593,5.59E-07,,,,,45.15470388,0.068476974
1.058510128,4.47E-08,1.522495967,1.27943E-05,0.88975158,1.28334E-06,,,,,54.38375112,0.095817343
1.191493468,3.99E-08,1.699345203,2.48042E-05,0.864144715,2.70618E-06,,,,,65.49909825,0.127391251
1.264124911,8.86E-08,1.912838296,4.59935E-05,1.02331717,1.35593E-06,,,,,78.88628098,0.162502616
1.3298943,1.97E-07,2.189864707,8.40428E-05,1.132568637,2.6439E-06,,,,,91.85078805,0.188366657
1.439575752,7.55E-07,2.571401412,0.000161255,1.232470186,5.28193E-06,,,,,,
1.318699785,3.79E-07,3.070894171,0.00028301,1.341183846,1.00018E-05,,,,,,
1.413132672,2.52485E-06,3.724691738,0.000410444,1.459486913,1.93494E-05,,,,,,
1.364051263,1.39614E-06,4.501799607,0.000559578,1.601707783,3.63831E-05,,,,,,
1.410962426,5.05118E-06,5.230579005,0.000945447,1.772709433,6.56667E-05,,,,,,
1.721029813,3.91E-07,7.031393228,0.001466017,1.995419462,0.000126472,,,,,,
1.802934436,1.09618E-06,8.468520586,0.001829547,2.303798118,0.000244749,,,,,,
1.971943824,2.64871E-06,10.1993785,0.002190653,2.659834621,0.000439522,,,,,,
1.964338284,4.13125E-06,12.28400176,0.002535134,3.12325345,0.000766583,,,,,,
2.217808624,2.4057E-06,14.79469551,0.00288421,3.761606737,0.001361689,,,,,,
2.327286477,4.73356E-06,17.81854312,0.003140658,4.530431318,0.002125972,,,,,,
2.444233787,9.37661E-06,21.46042674,0.003444979,5.375008477,0.00299521,,,,,,
2.593230179,1.7296E-05,25.84666506,0.0037059,6.984003287,0.004657196,,,,,,
2.728149729,3.06445E-05,31.1293947,0.003919219,8.75976195,0.006555082,,,,,,
2.919024332,6.2088E-05,37.49184711,0.004054985,10.55014589,0.008280747,,,,,,
3.14976692,0.000114297,45.15470388,0.004195455,12.70646155,0.010134808,,,,,,
3.341771428,0.000200998,54.38375112,0.004319705,15.3035007,0.012678784,,,,,,
3.661217962,0.000432856,65.49909825,0.004426032,18.43134163,0.015292539,,,,,,
4.024787011,0.000824161,78.88628098,0.004579355,22.03821302,0.018062507,,,,,,
4.4169856,0.001518191,94.42732516,0.00456772,28.06716896,0.023774132,,,,,,
5.274981677,0.004191329,,,33.30735832,0.029304858,,,,,,
6.14189461,0.007729082,,,40.1149588,0.035779009,,,,,,
7.273210265,0.013151928,,,48.31394624,0.043365563,,,,,,
8.75976195,0.020684316,,,58.18870244,0.051924817,,,,,,
10.37327967,0.026993111,,,70.08173324,0.060383311,,,,,,
13.18796722,0.047999844,,,84.40554828,0.070562433,,,,,,
15.82980425,0.073206581,,,95.00963362,0.076396408,,,,,,
19.06521493,0.107808687,,,,,,,,,,
22.96190241,0.141599772,,,,,,,,,,
27.65502326,0.178007904,,,,,,,,,,
33.30735832,0.203507245,,,,,,,,,,
40.1149588,0.227616861,,,,,,,,,,
48.31394624,0.237228144,,,,,,,,,,
58.18870244,0.25395613,,,,,,,,,,
70.08173324,0.260841362,,,,,,,,,,
84.69143099,0.281842069,,,,,,,,,,
95.00963362,0.291479684,,,,,,,,,,
