Default Dataset,
?,RMS Error 
0.011172376,0.125642725
0.012042507,0.211336543
0.013828519,0.553100091
0.015388467,0.164813111
0.015970034,0.073391303
0.018981369,0.076961612
0.022062078,0.039637387
0.025232611,0.032080344
0.028790073,0.0131388
0.035280417,0.013780295
0.037826133,0.037730507
0.036640561,0.087376321
0.048197443,0.02136779
0.049058559,0.012644677
0.061379528,0.011426094
0.07588888,0.008202478
0.089895548,0.008248265
0.096595209,0.002709301
0.113583405,0.001372396
0.141946506,0.001074149
0.158381629,0.001940018
0.157632794,0.000510034
0.182562155,0.000983711
0.176133967,0.001876293
0.219683103,0.000322465
0.245116455,0.000167797
0.255181893,0.000592751
0.307726915,6.39208E-05
0.35927118,2.68295E-05
0.429536882,1.38062E-05
0.453048886,5.12677E-06
0.481956704,3.62289E-05
0.507150884,1.44671E-05
0.518631176,6.41836E-06
0.531547317,1.87773E-06
0.582976506,5.53E-07
0.668977113,2.67E-07
0.735456707,4.90E-07
0.792506938,1.01E-07
0.809141765,1.81067E-06
0.813300332,2.81369E-05
0.812445787,1.0452E-05
0.811823818,5.08028E-06
0.814303008,8.98114E-05
0.854086441,5.36E-07
0.842258067,2.87E-07
0.954487465,4.62E-08
0.951716442,1.59E-08
1.161921159,4.14E-08
1.304454309,1.21E-07
1.345247698,2.83E-07
1.454935222,7.10E-07
1.431609786,2.82226E-06
1.716197971,3.25E-07
1.798121462,9.05E-07
2.003101627,2.49645E-06
2.112248815,4.08888E-06
2.429973583,7.50092E-06
2.607672612,1.6489E-05
2.826653348,3.96237E-05
3.094335235,8.51379E-05
3.387660653,0.000198531
3.708384033,0.000417415
4.14111136,0.000865495
4.670939657,0.001907889
5.374344912,0.004028154
6.434961971,0.008349898
7.937539269,0.015154175
9.88727669,0.0233228
12.31589815,0.035785777
15.34299289,0.061811257
19.11256972,0.098959715
23.80452332,0.136532302
29.64591779,0.174600756
36.91644872,0.200163738
45.96693385,0.215294542
57.2366168,0.232979623
71.26675365,0.243835929
88.73259836,0.246067157
