RMSE,,LOOCV,,GCV,,MLE,
?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error
0.01164492,0.00903314,0.010256951,0.17079777,0.012324529,0.067863099,0.012571647,0.235860551
0.022514829,0.008964842,0.010682996,0.10569551,0.01869946,0.057338949,0.019074401,0.213559231
0.036363094,0.008925399,0.011071651,0.065713043,0.020244937,0.008899784,0.02894074,0.186540252
0.060929662,0.008915029,0.011611941,0.037455203,0.028371858,0.057285135,0.043910496,0.160109635
0.102093174,0.00884991,0.012082269,0.021873899,0.043047358,0.057231371,0.066623442,0.133349066
0.171066372,0.008617925,0.012571647,0.01265444,0.06531384,0.057177658,0.101084783,0.10675612
0.28663722,0.008095903,0.014601169,0.008384348,0.099097784,0.057123995,0.153371443,0.081235921
0.480286658,0.007281438,0.013610672,0.004285466,0.150356657,0.057070382,0.230405214,0.056934916
0.77113692,0.008231446,0.014274864,0.002493248,0.227903129,0.057097693,0.326117848,0.03778188
1.150433842,0.01424223,0.014912142,0.001486585,0.346130683,0.057529106,0.422141975,0.025490834
1.534187302,0.023669053,0.01869946,0.001088907,0.525168682,0.058254992,0.519981506,0.017172668
2.107792644,0.039376564,0.028371858,0.001089353,0.796815069,0.060275937,0.738860418,0.008245395
3.07356864,0.064166687,0.043047358,0.00108833,1.208972044,0.065408846,0.96404012,0.01017635
4.617327868,0.102368835,0.06531384,0.001087309,1.834319479,0.077130193,0.962258665,0.006071936
7.289422471,0.164707915,0.099097784,0.001086288,2.622214207,0.10569087,1.459902238,0.011290848
12.21408843,0.211322672,0.150356657,0.001085269,3.428175582,0.15922404,1.798262692,0.016934869
20.46581285,0.230199839,0.228129464,0.001091091,4.756894064,0.240919889,2.327754117,0.025677713
34.29232546,0.235761988,0.346130683,0.001109335,7.217423667,0.284476189,3.327593686,0.036753194
57.45990126,0.239973639,0.525168682,0.001213576,10.95067573,0.288843171,5.048809812,0.044945578
85.4676477,0.240543412,0.781152262,0.001590319,16.61497295,0.288831486,7.66033444,0.047051195
,,1.073211198,0.002446277,25.20915904,0.288560409,11.62268454,0.047239912
,,1.361906589,0.003631395,38.24873512,0.288289586,17.634582,0.047195576
,,1.711191147,0.005413255,58.03310361,0.288019018,26.75616648,0.047151281
,,2.193166341,0.008006418,83.78763022,0.287950611,40.59594066,0.047107028
,,2.983390832,0.011820903,,,61.59441412,0.047062817
,,4.393757712,0.01681614,,,85.4676477,0.047028109
,,6.66645304,0.019572939,,,0.653380061,0.010988696
,,10.11471252,0.019837721,,,1.25755233,0.008038418
,,15.34660317,0.019819103,,,,
,,23.28471802,0.019800502,,,,
,,35.32886641,0.019781919,,,,
,,53.60291676,0.019763353,,,,
,,80.52601725,0.019745246,,,,
