approx y2,,Gaussian Function 1,,Gaussian Function 2,,Gaussian Function 3,,Gaussian Function 4,,Gaussian Function 5,,Gaussian Function 6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-3.84900250244162,0.0238109811210494,-3.93926861025135,0.31314064895640037,-3.8754375768716125,0.0003183148161323146,-3.8938131773900215,-0.14180996305558802,-3.95087425268403,-0.15112705719163566,-3.9276629678186703,-0.002842850457971835,-3.869634755655272,0.019363277415368252
-3.4711743654666054,-0.04160611938329639,-3.811606543491874,0.37219425873513723,-3.68643140011083,-0.0022127178451936125,-3.7767896161938355,-0.16752964248470148,-3.823212185924554,-0.21254048178034735,-3.8000009010591946,0.0028652599171747895,-3.748420268025063,0.021301341850898492
-3.1036623550984177,0.015104989203902797,-3.675240244907889,0.4288925091870204,-3.5075387117556684,-0.005069319023121466,-3.6259162645690006,-0.16441585384778046,-3.6865235083841053,-0.238260005621163,-3.663312223518746,0.0032865505989168042,-3.614310622136321,0.029020855328179884
-2.784060817336933,0.02712625660576018,-3.5609246669459944,0.47518275106905605,-3.3183667401029906,0.022215423110175436,-3.506958429634034,-0.16617147332171545,-3.573690873621942,-0.32181877963569283,-3.544676767540243,0.00255719508426111,-3.4901302481066487,0.02960183759716184
-2.2951359322884044,0.0398482450870028,-3.4221727640841806,0.5224465867349077,-3.0862538914493984,0.08434624867748308,-3.370592131050049,-0.16472391868069414,-3.4363574381685664,-0.38747112964880825,-3.4135330080509636,0.00298517606287918,-3.3589864886173695,0.043954361753435034
-1.9646514477768608,0.028975179048840616,-3.300958276453971,0.5492010556548927,-2.9005636125265246,0.13052734258909027,-3.2661413491559323,-0.1648499452032497,-3.3125639188866507,-0.44324571601660745,-3.289352634021292,-0.0018543697027753048,-3.2479039110474357,0.04092276010991469
-1.6436725370673217,0.008587755137825503,-3.156716720504953,0.5673671514765224,-2.72647897603633,0.20067347999619978,-3.1152679975310975,-0.14510069802215675,-3.165559114739376,-0.509958407362681,-3.1152679975310975,-0.013788699490241196,-3.1036623550984177,0.02781851138319169
-1.2564309345635785,-0.009827403705719995,-3.0456341429350196,0.5682380620342702,-2.529183054680777,0.3483484585164609,-2.987605930771622,-0.12884073062212442,-3.0572397853676994,-0.5432102083067787,-2.987605930771622,-0.03349716536154723,-2.976000288338942,0.009843564880260836
-0.6112345862561428,-0.03186395801314612,-2.9179720761755434,0.5510838155221633,-2.3451507246768566,0.5029176879468151,-2.8599438640121457,-0.10613240615132824,-2.9295777186082237,-0.5750198117978935,-2.8599438640121457,-0.07577488098052454,-2.8483382215794664,-0.011765910153463732
-0.2526762623256733,0.014602986573597487,-2.7903100094160678,0.5192742120310481,-2.175210960484048,0.7083302020723465,-2.73228179725267,-0.09925186721786083,-2.801915651848748,-0.5915878440308409,-2.73228179725267,-0.10394158145114396,-2.7206761548199907,-0.05586321628497837
0.09309184325485109,-0.015157935297795966,-2.6690955217858585,0.4806983562846079,-2.030140430075553,0.9083849194071263,-2.598172151363928,-0.0871474295769552,-2.683280195870245,-0.5932942233440968,-2.59156338275643,-0.1680820003962915,-2.5839874772795417,-0.12781705710699987
0.40994589139533666,-0.027394654938598162,-2.5349858758971164,0.4026863576818305,-1.8908727208833973,1.1263862982712243,-2.4769576637337187,-0.058616121397419896,-2.5465915183297962,-0.5825164803971892,-2.4769576637337187,-0.22207871639528554,-2.465352021301039,-0.20872703377737922
0.8322330171844303,-0.021384979962161932,-2.3973761156239153,0.40178974820919633,-1.7010375696631383,1.4347571955969376,-2.3504561612175108,-0.023661031689468537,-2.4189294515703206,-0.5539460131347886,-2.3531641444518026,-0.2985010723735093,-2.3389794703674163,-0.2745876175127253
1.1008961033695126,0.0014533036770063568,-2.0823658210226115,0.21136936733257672,-1.565914732768368,1.6561412863601088,-2.2332391726474468,-0.0032751914450721564,-2.2822407740298716,-0.5020681357267507,-2.222794094458035,-0.3938832057508299,-2.2100278877820876,-0.3117281160336014
1.570357428841815,-0.007213980898190808,-1.9559932700889888,0.19750738590703731,-1.4018531511063972,1.8746850066338627,-2.0939714634552913,0.18311946753429753,-2.163605318051369,-0.42958584126627075,-2.0895077548273377,-0.46685833685914657,-2.0823658210226115,-0.41957166557941017
2.0774280166335544,-0.02052857245661288,-1.8367130561975595,0.163366295284741,-1.168006992219353,2.1001372262708715,-1.95997904627799,0.20339713501350065,-2.035943251291893,-0.3978888978483499,-1.9985472923421477,-0.5653814231086813,-1.9944945283180373,-0.5233468916649744
2.6053465849105635,0.03186963819406152,-1.6906753889196744,0.12552093898056782,-0.9856326111343874,2.1622704898512644,-1.8753985309731585,0.30599331145035125,-1.8992545737514446,-0.33917185385010784,-1.8850698996670583,-0.6722517290116996,-1.8966755420997377,-0.6436807161799387
2.9456787142941723,0.035559024403522876,-1.5717175539847084,0.09622278599936873,-0.7999423322115131,2.1169194581280495,-1.6927478250683672,0.5305954127841761,-1.7022810313523542,-0.2505654842247753,-1.719275007771635,-0.8235275653403158,-1.719275007771635,-0.8290547285438268
3.3014516840407984,0.02724349507195356,-1.4427659713993797,0.08335100033641663,-0.6142520532886397,1.9550719469674829,-1.5833231964173877,0.6719922609673512,-1.5833231964173882,-0.2026394435398715,-1.5949288388500675,-0.9101860755394475,-1.6761683358788249,-1.012424319072783
3.6181147302290215,0.0020241283537538735,-1.3357361578535563,0.07291472622206463,-0.46918152288014436,1.7834780846661316,-1.4722406188474544,0.8278749759144968,-1.456950645483765,-0.16488339668763174,-1.4711353195681514,-0.9723438840581031,-1.6529570510134657,-0.8696672755426307
4.006727908656628,-0.037134900627810996,-1.188731353706281,0.07677832599170165,-0.2718856015245912,1.4782132046448755,-1.3744216326291543,0.9862022962432495,-1.3628159901964754,-0.16525491042906237,-1.3628159901964754,-1.00359045996793,-1.6007316600664074,-1.2026267225820857
,,-1.0610692869468048,0.08581780837041908,-0.1268150711160958,1.2461317989721632,-1.2351539234369993,1.2401609423924156,-1.2016265119648128,-0.14011451735646485,-1.2016265119648128,-1.0034778807198275,-1.52529498425399,-1.3493211397410776
,,-0.9334072201873287,0.1445727280164415,-0.010758646789299497,1.050678198670414,-1.1423087839755626,1.4201730263268106,-1.0726749293794846,-0.14609968098756587,-1.0726749293794846,-0.9717824931849006,-1.4788724145232717,-1.4485098942300865
