y1,,approx y1,
X,Y,X,Y
0.005730962745208901,0.05708431112325796,0.0030762997719863683,-0.28096651812597884
0.017704034522396217,0.19436920224783005,0.009902575988844309,-0.12721305552210027
0.0302802746213906,0.3355752817177604,0.01672885220570225,0.026565337829700386
0.04175853166751464,0.4615864482981791,0.025830553828179503,0.2132855594363483
0.057231424425725985,0.606380860418231,0.03417378031545032,0.37725370348067
0.06993880015249226,0.7258325405691293,0.04251700680272108,0.5055985788269302
0.08575008950948804,0.8534553094693259,0.05541108410123052,0.6927843475249913
0.11229671924171336,0.969441859276859,0.06830516139973997,0.8352061503874105
0.1441526749203837,0.9780402092186993,0.08650856464469447,0.9794074430928585
0.17145777978781546,0.8966363456922596,0.11381366951212624,1.0666927616524151
0.19193660843838928,0.7598948655193899,0.14491115005559013,1.011838191015296
0.2075611962236419,0.6124304177733266,0.1684238792469897,0.8808327767619594
0.21684959941786214,0.5063099689657686,0.18359338195111846,0.7605726092978444
0.22986036519871111,0.3687751615398456,0.1972459343848343,0.6364526877835324
0.2424043770502023,0.22522764030580555,0.21241543708896304,0.48251301403776425
0.2519940486897353,0.12187795042486105,0.22455103925226605,0.3528146453089247
0.2630994225945227,-0.026971814157956908,0.23592816628036262,0.22684684752499118
0.2776442987167167,-0.18400074843860215,0.24730529330845918,0.10206672287125151
0.2875550404834142,-0.3197649316238387,0.2579239452013493,-0.01599421895700348
0.2996400776377034,-0.44559064904469103,0.2693010722294459,-0.13751430205949644
0.3098503198424054,-0.5729088967218838,0.2821951495279553,-0.2745814765747321
0.3223943316938964,-0.6935622657148013,0.2958477019616712,-0.40320566863382723
0.3411539500380023,-0.8166074086749675,0.3102587295305935,-0.5295385402866435
0.3686613149414891,-0.9499561157859362,0.32694518250513505,-0.6543944959653136
0.4005172706201595,-0.9873515596772253,0.34894096142612174,-0.7769686364248218
0.4278223754875913,-0.9069701530766565,0.382313867375205,-0.8675177646633747
0.45116655464894495,-0.7798583453246941,0.4141698230538754,-0.8418944959653141
0.4689584975264345,-0.6341618809620457,0.44147492792130716,-0.7389859087076962
0.4821481570467523,-0.5066045028905215,0.46202270885689967,-0.6157146923893886
0.4930512371153448,-0.3764825348885328,0.4786402095464225,-0.4927449114777791
0.5031010326568301,-0.2465227775694434,0.4930512371153448,-0.3703709502589425
0.5134457907508957,-0.1321356890596923,0.5067037895490607,-0.25062333560828076
0.5241487176588088,-0.002097027045423694,0.5226317673883959,-0.0995330001204382
0.5347673695516989,0.1191914594765977,0.5370427949573182,0.03650808944558204
0.544911974485085,0.24183606801608515,0.5514538225262405,0.17343791400698572
0.5587014738182132,0.3854670896138457,0.5658648500951629,0.3039042113292385
0.5711741760416079,0.5194195671026474,0.5795174025288787,0.421798948171344
0.5840682533401174,0.639499895782264,0.5954453803682139,0.5461248946164039
0.5954453803682139,0.7616101606234726,0.615039321361047,0.6753146453089247
0.6144072587483749,0.8847556406017208,0.6417123636158065,0.7978561965554622
0.6401954133453936,0.9801063563679491,0.6735683192944769,0.853950379380947
0.672051369024064,0.9734794652535231,0.70572766502723,0.7990750331205592
0.6978395236210829,0.8700410753885404,0.7310860170476317,0.6816165843670965
0.7145259765956246,0.7371982372479182,0.7494158328151207,0.5566575060492924
0.7272304351103324,0.6265987164432383,0.7653438106544559,0.4279392990485369
0.7403141311926432,0.48763745843694584,0.7789963630881718,0.29865259544742884
0.7523486033379188,0.372389607645514,0.7911319652514748,0.17966713838371695
0.7630683852488366,0.2502979869835449,0.8040260425499841,0.04121569178476303
0.77298690624769,0.1342327520264135,0.8161616447132871,-0.08951222449716956
0.7842045590165891,0.0003433261985907876,0.8214709706597323,1.2490334818740219
0.7942242100334702,-0.11948032587661861,0.8275387717413838,-0.2143494821148979
0.8047845176851907,-0.24412815189305914,0.8396743739046868,-0.3460842466578349
0.8161616447132871,-0.3808532826710591,0.8518099760679898,-0.47437718294592335
0.8282972468765901,-0.5087115214706612,0.8647040533664991,-0.609715363924686
0.8406113137775888,-0.6372570629409391,0.8791150809354213,-0.7450939419486935
0.8553856445625343,-0.7673661628844992,0.895801533909963,-0.884609177405757
0.8779996763248237,-0.8932066105505596,0.9170388376957432,-1.0193010056606049
0.9071786609380597,-0.9862158256052034,0.9470984048962932,-1.1155714167992548
0.93903461661673,-0.9553102399627753,0.9792337987826711,-1.0708557148018794
0.9674774341869714,-0.8242806070459601,0.9974372020276256,-0.9767629170179455
0.9843834457532834,-0.7088598737632128,,
0.9966787268924193,-0.58825668236378,,
