y2,,approx y2,,Gaussian functions,
X,Y,X,Y,X,Y
-3.9934707529712146,6.201013311347225,-3.9663569881871172,-16.57855782253712,-3.946703519630599,0.22465110522132647
-3.9647927325264973,1.7825536243833042,-3.875317308738979,-17.524536230534977,-3.9762639407043836,-17.082208540007173
-3.9590571284375535,-0.6572782439482765,-3.7776034718055254,-15.088246257304355,-3.9246435039038925,-18.755174935836898
-3.93611471208178,-5.010616275925649,-3.8099314221250244,-16.96445431455205,-3.8716994661598,1.0282266437667502
-3.9027439246552,-10.572638175797785,-3.73536856896876,-12.788690674078111,-3.8351680801163752,-19.796978683227167
-3.8738424391161086,-16.132528358089864,-3.6665413199014387,-7.155527334140075,-3.8328738384807983,2.8182555619090692
-3.8500806507476284,-19.08403037274431,-3.6344219370033555,-4.315387172701762,-3.7640465894134776,0.12418161589028642
-3.8271382343918545,-21.01091769837364,-3.597714070834118,-1.3084947938137432,-3.7755177975913643,4.372611337916727
-3.7640465894134767,-23.27744324453056,-3.5475275350558633,2.3525911248819824,-3.7411041730577033,-18.692229949866345
-3.6665413199014387,-16.98051170893229,-3.5317546238112687,3.6189460631125456,-3.7296329648798165,5.430258381095495
-3.6493345076346086,-14.249684171332056,-3.523151217677854,4.359765422412533,-3.649334507634609,8.225162568651179
-3.6952193403461555,-23.002034601523945,-3.477266384966306,7.360204258035349,-3.6192225861676555,0.44824149922207823
-3.6263920912788348,-11.59134429979121,-3.412851139044326,10.544744355233856,-3.6665413199014387,-15.513936355536636
-3.597714070834118,-7.105214165081975,-3.2927711201052925,11.483896062447641,-3.6263920912788348,-13.860024734371457
-3.546093634033627,0.7629090812377868,-3.2134285968749086,11.173809935415811,-3.5747716544783446,10.108312610540032
-3.586242862656231,-4.953523318129228,-3.1560725559854745,8.004029308900385,-3.591978466745174,-12.050891634197257
-3.5518292381225702,-1.5493557095174069,-3.1120995913035747,6.219568522631064,-3.5313449378049158,2.139257170973025
-3.4944731972331367,10.397345709384432,-3.0528316823844928,3.691641880580569,-3.557564842211514,-10.498676844106967
-3.413218805973105,16.547327757018046,-3.024153661939776,2.1688231669747466,-3.5002088013220796,-0.031202059021573803
-3.3645786340423594,18.844794556873804,-3.010770585732241,0.40572126402390296,-3.528886821766797,-9.064216279471793
-3.2806171019168175,18.664493385487017,-2.966797621050341,-1.187957286666041,-3.481568088033014,11.047670181784333
-3.246695100590781,17.418189071663186,-2.94854797167643,-2.9371038541373125,-3.451456166566061,3.5408383090200672
-3.150336951896531,9.265299405577203,-2.89797037198302,-5.572879958510079,-3.4772663849663057,-6.687721911195624
-3.1369538756889965,5.258979507706222,-2.8635567474493593,-6.9296533198579695,-3.3740255113653244,-0.3606914502006191
-3.070038494651323,0.10857026024282845,-2.824554639644544,-9.08448427948953,-3.408439135898985,-4.088565007513388
-3.0872453069181534,3.2250428862085982,-2.7660514779373213,-10.594630395498747,-3.379761115454268,10.151132328887357
-3.0356248701176622,-2.436972787758698,-2.680836788615876,-10.791074349392936,-3.379761115454268,4.948536549688164
-3.0528316823844923,-0.7786007792656804,-2.590159619209723,-8.000027334878858,-3.3510830950095505,-2.7183340203992046
-3.0184180578508317,-4.214883176637983,-2.6226613757137356,-10.413037407412325,-3.3224050745648337,8.684404047926172
-2.9782688292282278,-7.029811317304748,-2.530891710290641,-4.9406774026250275,-3.2822558459422297,6.425388635487177
-2.957238280902102,-7.998005292623567,-2.4958407964137646,-2.3772035975655683,-3.276520241853286,-1.6908901714118514
-2.938119600605624,-9.278314871208387,-2.481565515125727,-1.0432266386521079,-3.2707846377643426,-0.46754611098550924
-2.8922347678940765,-11.256437565457631,-2.4429457809268413,1.24106260278284,-3.273652439808815,7.253664720718806
-2.799031201448746,-11.844821739650783,-2.4125296986369906,3.3018264266086703,-3.1101877232739272,8.879192058888599
-2.7115632390923587,-9.48260061082373,-2.364559191711282,5.533752111065308,-3.1331301396297007,3.1210521416508215
-2.6742818125142263,-7.792470644556438,-2.28569463548831,9.098608359153712,-3.110187723273927,-0.1012706890444619
-2.6038158194214924,-3.5966188760108864,-2.1730782552034777,10.13521217719412,-3.138865743718644,-4.289817683745788
-2.5423629184685277,-0.8403835157382389,-2.094166427518235,9.101175357575045,-3.075774098740266,-6.080293620925808
-2.5538341266464144,-2.737602893655499,-2.0444081998375303,7.342585148819282,-3.0585672864734357,1.7006609130440609
-2.494566217727332,1.8091375328572639,-1.9755809507702096,5.258492919997732,-2.9954756414950587,8.149310496150218
-2.4321118620921713,5.0268014793341,-1.9041813701720898,2.265300070479668,-2.986872235361643,0.30871421162515844
-2.3353597527130243,7.063246730795502,-1.8540904277953167,1.5657788002500084,-3.029889266028719,-7.854865091291103
-2.265620021177008,8.12522440457985,-1.748937686164687,-0.15057824350500226,-2.984004433317171,-9.498408223513607
-2.1523418404203754,7.889180707190256,-1.6088933529929852,-0.4413954972805456,-2.949590808783511,-11.003949520605325
-2.0531978268829243,6.326108059947611,-1.4698049538361069,-0.886039345300766,-2.9037059760719637,6.598624981715183
-1.9057108645958079,3.4761221437905974,-1.3538182933708072,-1.2401021881201117,-2.8479886792079414,0.3128104857017533
-1.8311480114395433,2.657681618106629,-1.2174383739225965,-1.036297629683169,-2.89797037198302,-12.825928536283719
-1.7623207623722217,0.7789664756180272,-1.0912550839658408,-0.5006618801748886,-2.857821143360416,-14.056995438769121
-1.6166364185130586,-1.2089389486562325,-0.965071794009086,0.49548047665044237,-2.829143122915699,5.012766127209144
-1.50230671034012,-1.61358528703839,-0.8388885040523304,0.8117624871704052,-2.7889938942930947,-15.637043045785177
-1.238468922248722,-0.6394366946368848,-0.7127052140955747,1.1161717576031691,-2.750756533700139,3.6800023936488557
-0.5085177085291894,1.5336640114895275,-0.58652192413882,1.02566644382361,-2.7362263366748154,2.06676950491363
-0.40298259329262986,1.019827391321705,-0.46033863418206433,1.0120419879858247,-2.7316378534036607,-0.0020067965120347253
0.2107270442243161,1.019827391321705,-0.321250235025186,1.1001143632229287,-2.6914886247810568,-16.217785475870684
0.973562388053792,-0.9070599343076253,-0.20797205426855392,1.1988916680468549,-2.66281060433634,2.6840871110874716
1.1341593025442078,-2.4913895131584027,-0.08178876431179827,1.2300332813903552,-2.5972608433198436,0.3299274496431366
1.320566435434869,-4.190797085067608,0.044394525644956495,1.1249303363560301,-2.593983355269019,5.2332876766978345
1.4926345581031715,-4.150653599117,0.17057781560171215,1.013988338819793,-2.588247751180075,-14.311161052673562
1.623597518134046,-1.6135852870383829,0.2967611055584678,1.051942180082193,-2.5366273143795848,6.907110466894512
1.6790416909938326,-0.4092807085200434,0.42294439551522256,0.990632128812166,-2.530891710290641,-12.53261346560459
1.776546960505871,1.3501509328581633,0.5433920813830353,0.9042141517839468,-2.47927127349015,0.2198771985604253
1.8224317932174188,3.1394034495139707,0.6776052170643112,0.5830662641790596,-2.4792712734901503,8.714530778334822
1.8969946463736829,5.323209085227212,0.8014942653854886,-0.3046643511942122,-2.485006877579093,-10.68922459075253
1.931408270907344,6.3669397199430975,0.9276775553422443,-1.1080901704447186,-2.4448576489564893,-9.206948673962856
2.005971124063608,8.441911904856902,1.053860845299,-2.010640857168056,-2.4219152326007163,10.453867737602895
2.11685946978318,11.75330345704953,1.1800441352557547,-2.9154993598802648,-2.4047084203338853,-7.771596031862117
2.21117829257914,12.564839071441565,1.3062274252125103,-3.5451438546692415,-2.355382225168972,-0.014268806766047248
2.315693744866553,12.099429513690353,1.436712418235973,-3.508357823907218,-2.370294795800225,11.810396414845943
2.3271649530444396,10.536509794013227,1.5585940051260208,-3.1644376315448923,-2.3645591917112814,-6.299285894759237
2.3819718365610107,8.772575285427866,1.6812476925665036,-1.7843544018758877,-2.2659068013814547,13.448250641630874
2.4476126389122506,4.770834718546805,1.7593401482390405,-0.20741632202554428,-2.2842607344660735,-3.835841282083912
2.5298229641871064,-1.1051011316639716,1.80293073931501,1.3400577135334402,-2.2221250235025196,-0.3909294006569155
2.4992330757127412,1.2553358422319647,1.8472860776028392,2.8639851519893327,-2.2085507604920203,-2.290136836926017
2.4992330757127412,0.4417611936329138,1.9016874133555453,4.841487253819878,-2.1580774445093187,13.021582733812949
2.570928126824535,-3.500329126717091,1.9371438749962868,6.782477899381064,-2.1114278645859117,-0.6952450608828897
2.6024739493137243,-7.310035151176635,1.991222427834896,9.19190509752221,-2.0892501954419975,11.6433995132914
2.620827882398343,-8.902113060014074,2.0346491445083252,10.660686977220461,-2.0548365709083365,-2.4076964272977506
2.6713011983810464,-10.05849013949652,2.0920051853977597,13.062873176505018,-2.037629758641507,10.28907299299193
2.6999792188257636,-14.182457213526753,2.155096830376136,14.573728011373468,-1.9809110070952878,-0.08634866598402624
2.7302959832958926,-15.655394353648305,2.246866495799231,14.383861487519791,-1.9860093218410158,8.697831088179367
