Mean Curve,
Width Factor,MSE
0.728794094,0.20165207
0.825020509,0.18363521
0.904265792,0.169026017
0.994831829,0.152840875
1.102378999,0.137352876
1.215586546,0.121522407
1.328794094,0.10805939
1.46464315,0.093222913
1.662160528,0.07617457
1.900492207,0.062829458
2.138228056,0.056159573
2.375963905,0.055131827
2.613699754,0.057964092
2.851435603,0.063605759
3.089171452,0.071780609
3.326907301,0.081342834
3.56464315,0.091790928
3.802378999,0.102586176
4.040114848,0.113747881
4.277850697,0.124585419
4.515586546,0.134870751
4.753322395,0.144910176
4.991058244,0.153893643
5.228794094,0.162427973
5.466529943,0.170096823
5.704265792,0.176486831
5.942001641,0.180906638
6.17973749,0.180818564
6.417473339,0.180920114
6.655209188,0.179196123
6.858982773,0.18459932
7.034454471,0.19859369
